student1_id,student2_id,student1_wins,student2_wins,num_ties,student1_stack,student2_stack
t12902205,b11902023,3,2,0,6973.0,3025.0
b10902031,b10902063,2,3,0,4595.185121793701,5395.153996456159
b10505029,b12902098,3,2,0,6000,4000
b10902034,b12901024,3,2,0,4025,5975
b10201026,b10505011,5,0,0,8227.0,1769.9401954468908
b10902103,b10902012,4,1,0,6028.0,3969.827743664775
b10902077,b11902009,3,2,0,5725.0,4273.6900000000005
r12922098,b10201054,2,3,0,4171.454348564651,5818.0
b10902033,b11902155,2,3,0,4313.0,5687.0
b10902031,b10902071,1,4,0,1934.1689111636283,8049.363567562336
b11902027,b10507008,4,1,0,7284.350604263766,2713
b09303113,b11902001,5,0,0,5405,4595
b10902041,b11902027,4,1,0,7016,2980
b10902040,b10902073,3,2,0,5756.308646584712,4236.604649682986
b07401120,b10505057,4,1,0,6865.0,3124.9890254755483
b09902018,b11902106,3,2,0,7439,2560
b10204022,b11902001,5,0,0,5398.31498933794,4595
b09303016,b10902087,5,0,0,5174,4826
b10902025,b10902112,2,3,0,4265.9296875,5725.0
b06401036,b10902048,1,4,0,3819.9444,6178.601000000001
b10902116,b10902087,5,0,0,6353,3647
b11902044,r12246005,0,3,2,3084.0,6916.0
b11902051,b10902085,2,3,0,3029,6971
b11902132,b10902076,4,1,0,4513.25,5485.75
b11902143,b10902112,3,2,0,5695,4304.0
b10902095,r12246005,2,3,0,4010,5990
r12922098,b10902017,2,3,0,4329.325424235258,5653.0
b11902087,b09902013,3,2,0,7884.0,2115.0
b09201009,b11902047,0,5,0,4745,5255
b10201026,b09508001,3,2,0,6369.2,3627.0
b10902054,b11902127,1,4,0,4719.24,5280.4400000000005
b10204022,b10902032,2,3,0,4000.0,5991.712912543044
b10902107,b11902023,3,2,0,5650.0,4346.0
b09901142,b10902054,3,2,0,3672.8399999999997,6324.24
b09401140,b07401120,0,5,0,4761.9,5235.799999999999
b10502010,b10502042,1,4,0,2799.0,7198.0
b11902140,b10902095,1,4,0,1162.0,8835.0
b11902023,b11902125,5,0,0,7971.9,2023.9555555555557
b10902020,b11902155,3,2,0,5240,4760
b10902085,b10902045,4,1,0,5072.81904,4908.586604271027
b10201054,b11902078,2,3,0,4906.0,5093.06717690943
b10505029,b11902043,1,4,0,3580,6420
b09401140,b10902022,0,5,0,4809,5191
b10902034,b11705051,5,0,0,5085,4915
b10902111,b10705044,2,3,0,5025,4975
b10902138,t12902103,5,0,0,6119.0,3879.4444444444443
b10705005,b10902085,0,5,0,4798,5202
b10902037,b10902102,2,3,0,3356.0,6641.320072697899
b09303016,b10902116,4,1,0,7845,2155
b10902104,b09502074,2,3,0,6528.347582227953,3464.0
b07401120,b11902072,2,3,0,3718.0,6274.0
b10902004,b11902106,4,1,0,5630,4370
b10902100,b10902112,3,2,0,7144.0,2855.0
b10902012,b10902088,2,3,0,2895.0380430601767,7077.603606339252
b11705031,b10902077,1,4,0,3360.3096646454997,6628.12
b11902023,b09902002,3,2,0,4130.0,5870.0
b10902052,b10902045,2,3,0,5074.407902801004,4900.731588547847
b10902034,b10902103,3,2,0,5590,4408.111111111111
b10902129,b10705044,1,3,1,5820,4180
b10902019,b11902078,2,3,0,5476.0,4521.15625
b10902079,b11902110,3,2,0,6795,3205
b11902110,b10902132,2,3,0,3377,6623
b11902110,b10902044,3,2,0,5406,4594
b10902101,b11902106,5,0,0,6155.4,3843
b10902122,b11902065,2,3,0,6021,3979
b11902085,b11902078,1,4,0,5092.0,4908.0
b10902074,b11902129,2,3,0,3815,6182.0
b10902034,b10902088,3,2,0,3996.0,5989.2531822499295
b10902051,b10902077,3,2,0,4358.297070606144,5634.586508191878
b10902078,b10902112,1,4,0,3977.75,6010.7902048
b10902037,b10902086,1,4,0,1883.0,8095.379580885327
t12902155,b10902111,3,2,0,6750,3250
t12902155,b10902129,1,4,0,3875,6125
