community cards of this round: ['CA', 'HK', 'D3', 'CK', 'D2']
name: t12902103, hole_card: ['HT', 'HQ']
name: baseline1, hole_card: ['SA', 'ST']
name: t12902103, hole_card: ['HT', 'HQ']
name: baseline1, hole_card: ['SA', 'ST']
name: t12902103, hole_card: ['HT', 'HQ']
name: baseline1, hole_card: ['SA', 'ST']
name: t12902103, hole_card: ['HT', 'HQ']
name: baseline1, hole_card: ['SA', 'ST']
name: t12902103, hole_card: ['HT', 'HQ']
name: baseline1, hole_card: ['SA', 'ST']
community cards of this round: ['H2', 'S3', 'SJ', 'D7', 'S8']
name: t12902103, hole_card: ['S5', 'CJ']
name: baseline1, hole_card: ['DK', 'C6']
name: t12902103, hole_card: ['S5', 'CJ']
name: baseline1, hole_card: ['DK', 'C6']
name: t12902103, hole_card: ['S5', 'CJ']
name: baseline1, hole_card: ['DK', 'C6']
community cards of this round: ['C8', 'DQ', 'SJ', 'S9', 'HJ']
name: t12902103, hole_card: ['HT', 'D5']
name: baseline1, hole_card: ['DA', 'D2']
name: t12902103, hole_card: ['HT', 'D5']
name: baseline1, hole_card: ['DA', 'D2']
community cards of this round: ['H7', 'CK', 'H4', 'DA', 'S2']
name: t12902103, hole_card: ['D8', 'SK']
name: baseline1, hole_card: ['SJ', 'D2']
name: t12902103, hole_card: ['D8', 'SK']
name: baseline1, hole_card: ['SJ', 'D2']
name: t12902103, hole_card: ['D8', 'SK']
name: baseline1, hole_card: ['SJ', 'D2']
name: t12902103, hole_card: ['D8', 'SK']
name: baseline1, hole_card: ['SJ', 'D2']
name: t12902103, hole_card: ['D8', 'SK']
name: baseline1, hole_card: ['SJ', 'D2']
name: t12902103, hole_card: ['D8', 'SK']
name: baseline1, hole_card: ['SJ', 'D2']
name: t12902103, hole_card: ['D8', 'SK']
name: baseline1, hole_card: ['SJ', 'D2']
name: t12902103, hole_card: ['D8', 'SK']
name: baseline1, hole_card: ['SJ', 'D2']
name: t12902103, hole_card: ['D8', 'SK']
name: baseline1, hole_card: ['SJ', 'D2']
name: t12902103, hole_card: ['D8', 'SK']
name: baseline1, hole_card: ['SJ', 'D2']
name: t12902103, hole_card: ['D8', 'SK']
name: baseline1, hole_card: ['SJ', 'D2']
name: t12902103, hole_card: ['D8', 'SK']
name: baseline1, hole_card: ['SJ', 'D2']
t12902103 vs baseline1 - Game 2: {'rule': {'initial_stack': 1000, 'max_round': 20, 'small_blind_amount': 5, 'ante': 0, 'blind_structure': {}}, 'players': [{'name': 't12902103', 'uuid': 'rpdksnhqpzjbjjfpfxolhr', 'stack': 1998, 'state': 'participating'}, {'name': 'baseline1', 'uuid': 'gyyivgssxgcesxtbuyeohz', 'stack': 0, 'state': 'folded'}]}
community cards of this round: ['D6', 'D8', 'S2', 'SQ', 'H9']
name: baseline1, hole_card: ['H7', 'S5']
name: t12902103, hole_card: ['D5', 'HT']
name: baseline1, hole_card: ['H7', 'S5']
name: t12902103, hole_card: ['D5', 'HT']
community cards of this round: ['C3', 'S5', 'CT', 'D5', 'H5']
name: baseline1, hole_card: ['CA', 'H3']
name: t12902103, hole_card: ['S7', 'DK']
name: baseline1, hole_card: ['CA', 'H3']
name: t12902103, hole_card: ['S7', 'DK']
name: baseline1, hole_card: ['CA', 'H3']
name: t12902103, hole_card: ['S7', 'DK']
name: baseline1, hole_card: ['CA', 'H3']
name: t12902103, hole_card: ['S7', 'DK']
name: baseline1, hole_card: ['CA', 'H3']
name: t12902103, hole_card: ['S7', 'DK']
name: baseline1, hole_card: ['CA', 'H3']
name: t12902103, hole_card: ['S7', 'DK']
name: baseline1, hole_card: ['CA', 'H3']
name: t12902103, hole_card: ['S7', 'DK']
name: baseline1, hole_card: ['CA', 'H3']
name: t12902103, hole_card: ['S7', 'DK']
name: baseline1, hole_card: ['CA', 'H3']
name: t12902103, hole_card: ['S7', 'DK']
name: baseline1, hole_card: ['CA', 'H3']
name: t12902103, hole_card: ['S7', 'DK']
name: baseline1, hole_card: ['CA', 'H3']
name: t12902103, hole_card: ['S7', 'DK']
name: baseline1, hole_card: ['CA', 'H3']
name: t12902103, hole_card: ['S7', 'DK']
community cards of this round: ['H2', 'S6', 'H4', 'C2', 'CJ']
name: baseline1, hole_card: ['D5', 'DA']
name: t12902103, hole_card: ['CK', 'DJ']
name: baseline1, hole_card: ['D5', 'DA']
name: t12902103, hole_card: ['CK', 'DJ']
name: baseline1, hole_card: ['D5', 'DA']
name: t12902103, hole_card: ['CK', 'DJ']
name: baseline1, hole_card: ['D5', 'DA']
name: t12902103, hole_card: ['CK', 'DJ']
name: baseline1, hole_card: ['D5', 'DA']
name: t12902103, hole_card: ['CK', 'DJ']
name: baseline1, hole_card: ['D5', 'DA']
name: t12902103, hole_card: ['CK', 'DJ']
name: baseline1, hole_card: ['D5', 'DA']
name: t12902103, hole_card: ['CK', 'DJ']
name: baseline1, hole_card: ['D5', 'DA']
name: t12902103, hole_card: ['CK', 'DJ']
name: baseline1, hole_card: ['D5', 'DA']
name: t12902103, hole_card: ['CK', 'DJ']
community cards of this round: ['HJ', 'CA', 'CT', 'D2', 'H6']
name: baseline1, hole_card: ['H8', 'D7']
name: t12902103, hole_card: ['S3', 'C7']
name: baseline1, hole_card: ['H8', 'D7']
name: t12902103, hole_card: ['S3', 'C7']
name: baseline1, hole_card: ['H8', 'D7']
name: t12902103, hole_card: ['S3', 'C7']
community cards of this round: ['C3', 'H6', 'C7', 'C4', 'C9']
name: baseline1, hole_card: ['C6', 'H4']
name: t12902103, hole_card: ['D6', 'H5']
name: baseline1, hole_card: ['C6', 'H4']
name: t12902103, hole_card: ['D6', 'H5']
community cards of this round: ['D5', 'CQ', 'ST', 'H3', 'C3']
name: baseline1, hole_card: ['D9', 'S3']
name: t12902103, hole_card: ['CA', 'DT']
name: baseline1, hole_card: ['D9', 'S3']
name: t12902103, hole_card: ['CA', 'DT']
name: baseline1, hole_card: ['D9', 'S3']
name: t12902103, hole_card: ['CA', 'DT']
name: baseline1, hole_card: ['D9', 'S3']
name: t12902103, hole_card: ['CA', 'DT']
name: baseline1, hole_card: ['D9', 'S3']
name: t12902103, hole_card: ['CA', 'DT']
name: baseline1, hole_card: ['D9', 'S3']
name: t12902103, hole_card: ['CA', 'DT']
name: baseline1, hole_card: ['D9', 'S3']
name: t12902103, hole_card: ['CA', 'DT']
name: baseline1, hole_card: ['D9', 'S3']
name: t12902103, hole_card: ['CA', 'DT']
name: baseline1, hole_card: ['D9', 'S3']
name: t12902103, hole_card: ['CA', 'DT']
name: baseline1, hole_card: ['D9', 'S3']
name: t12902103, hole_card: ['CA', 'DT']
name: baseline1, hole_card: ['D9', 'S3']
name: t12902103, hole_card: ['CA', 'DT']
name: baseline1, hole_card: ['D9', 'S3']
name: t12902103, hole_card: ['CA', 'DT']
community cards of this round: ['H2', 'C4', 'H5', 'DQ', 'D4']
name: baseline1, hole_card: ['SJ', 'H8']
name: t12902103, hole_card: ['C5', 'CT']
