community cards of this round: ['H8', 'C3', 'S2', 'D9', 'HA']
name: b10902114, hole_card: ['C5', 'CQ']
name: baseline1, hole_card: ['HJ', 'H3']
name: b10902114, hole_card: ['C5', 'CQ']
name: baseline1, hole_card: ['HJ', 'H3']
name: b10902114, hole_card: ['C5', 'CQ']
name: baseline1, hole_card: ['HJ', 'H3']
name: b10902114, hole_card: ['C5', 'CQ']
name: baseline1, hole_card: ['HJ', 'H3']
name: b10902114, hole_card: ['C5', 'CQ']
name: baseline1, hole_card: ['HJ', 'H3']
name: b10902114, hole_card: ['C5', 'CQ']
name: baseline1, hole_card: ['HJ', 'H3']
community cards of this round: ['S7', 'C7', 'C8', 'S9', 'S8']
name: b10902114, hole_card: ['CJ', 'SQ']
name: baseline1, hole_card: ['H6', 'SJ']
name: b10902114, hole_card: ['CJ', 'SQ']
name: baseline1, hole_card: ['H6', 'SJ']
name: b10902114, hole_card: ['CJ', 'SQ']
name: baseline1, hole_card: ['H6', 'SJ']
name: b10902114, hole_card: ['CJ', 'SQ']
name: baseline1, hole_card: ['H6', 'SJ']
name: b10902114, hole_card: ['CJ', 'SQ']
name: baseline1, hole_card: ['H6', 'SJ']
name: b10902114, hole_card: ['CJ', 'SQ']
name: baseline1, hole_card: ['H6', 'SJ']
name: b10902114, hole_card: ['CJ', 'SQ']
name: baseline1, hole_card: ['H6', 'SJ']
name: b10902114, hole_card: ['CJ', 'SQ']
name: baseline1, hole_card: ['H6', 'SJ']
name: b10902114, hole_card: ['CJ', 'SQ']
name: baseline1, hole_card: ['H6', 'SJ']
community cards of this round: ['H6', 'HA', 'S4', 'SK', 'C4']
name: b10902114, hole_card: ['H8', 'CK']
name: baseline1, hole_card: ['C9', 'C2']
name: b10902114, hole_card: ['H8', 'CK']
name: baseline1, hole_card: ['C9', 'C2']
name: b10902114, hole_card: ['H8', 'CK']
name: baseline1, hole_card: ['C9', 'C2']
name: b10902114, hole_card: ['H8', 'CK']
name: baseline1, hole_card: ['C9', 'C2']
name: b10902114, hole_card: ['H8', 'CK']
name: baseline1, hole_card: ['C9', 'C2']
community cards of this round: ['H7', 'H4', 'DT', 'D6', 'HJ']
name: b10902114, hole_card: ['CA', 'S5']
name: baseline1, hole_card: ['ST', 'D9']
name: b10902114, hole_card: ['CA', 'S5']
name: baseline1, hole_card: ['ST', 'D9']
name: b10902114, hole_card: ['CA', 'S5']
name: baseline1, hole_card: ['ST', 'D9']
name: b10902114, hole_card: ['CA', 'S5']
name: baseline1, hole_card: ['ST', 'D9']
name: b10902114, hole_card: ['CA', 'S5']
name: baseline1, hole_card: ['ST', 'D9']
name: b10902114, hole_card: ['CA', 'S5']
name: baseline1, hole_card: ['ST', 'D9']
name: b10902114, hole_card: ['CA', 'S5']
name: baseline1, hole_card: ['ST', 'D9']
name: b10902114, hole_card: ['CA', 'S5']
name: baseline1, hole_card: ['ST', 'D9']
name: b10902114, hole_card: ['CA', 'S5']
name: baseline1, hole_card: ['ST', 'D9']
community cards of this round: ['D5', 'H9', 'SJ', 'S4', 'S9']
name: b10902114, hole_card: ['DA', 'C2']
name: baseline1, hole_card: ['C4', 'C5']
name: b10902114, hole_card: ['DA', 'C2']
name: baseline1, hole_card: ['C4', 'C5']
name: b10902114, hole_card: ['DA', 'C2']
name: baseline1, hole_card: ['C4', 'C5']
name: b10902114, hole_card: ['DA', 'C2']
name: baseline1, hole_card: ['C4', 'C5']
name: b10902114, hole_card: ['DA', 'C2']
name: baseline1, hole_card: ['C4', 'C5']
name: b10902114, hole_card: ['DA', 'C2']
name: baseline1, hole_card: ['C4', 'C5']
community cards of this round: ['S3', 'ST', 'CJ', 'CQ', 'C5']
name: b10902114, hole_card: ['HJ', 'C9']
name: baseline1, hole_card: ['CA', 'S5']
name: b10902114, hole_card: ['HJ', 'C9']
name: baseline1, hole_card: ['CA', 'S5']
name: b10902114, hole_card: ['HJ', 'C9']
name: baseline1, hole_card: ['CA', 'S5']
name: b10902114, hole_card: ['HJ', 'C9']
name: baseline1, hole_card: ['CA', 'S5']
name: b10902114, hole_card: ['HJ', 'C9']
name: baseline1, hole_card: ['CA', 'S5']
name: b10902114, hole_card: ['HJ', 'C9']
name: baseline1, hole_card: ['CA', 'S5']
name: b10902114, hole_card: ['HJ', 'C9']
name: baseline1, hole_card: ['CA', 'S5']
name: b10902114, hole_card: ['HJ', 'C9']
name: baseline1, hole_card: ['CA', 'S5']
community cards of this round: ['HK', 'H8', 'DK', 'DQ', 'SK']
name: b10902114, hole_card: ['C8', 'CA']
name: baseline1, hole_card: ['S9', 'DA']
name: b10902114, hole_card: ['C8', 'CA']
name: baseline1, hole_card: ['S9', 'DA']
name: b10902114, hole_card: ['C8', 'CA']
name: baseline1, hole_card: ['S9', 'DA']
name: b10902114, hole_card: ['C8', 'CA']
name: baseline1, hole_card: ['S9', 'DA']
name: b10902114, hole_card: ['C8', 'CA']
name: baseline1, hole_card: ['S9', 'DA']
name: b10902114, hole_card: ['C8', 'CA']
name: baseline1, hole_card: ['S9', 'DA']
community cards of this round: ['H5', 'S2', 'C4', 'ST', 'DQ']
name: b10902114, hole_card: ['HJ', 'SA']
name: baseline1, hole_card: ['S4', 'CJ']
name: b10902114, hole_card: ['HJ', 'SA']
name: baseline1, hole_card: ['S4', 'CJ']
name: b10902114, hole_card: ['HJ', 'SA']
name: baseline1, hole_card: ['S4', 'CJ']
name: b10902114, hole_card: ['HJ', 'SA']
name: baseline1, hole_card: ['S4', 'CJ']
name: b10902114, hole_card: ['HJ', 'SA']
name: baseline1, hole_card: ['S4', 'CJ']
name: b10902114, hole_card: ['HJ', 'SA']
name: baseline1, hole_card: ['S4', 'CJ']
name: b10902114, hole_card: ['HJ', 'SA']
name: baseline1, hole_card: ['S4', 'CJ']
name: b10902114, hole_card: ['HJ', 'SA']
name: baseline1, hole_card: ['S4', 'CJ']
name: b10902114, hole_card: ['HJ', 'SA']
