name: b10705044, hole_card: ['HK', 'H3']
name: baseline1, hole_card: ['S3', 'S2']
name: b10705044, hole_card: ['HK', 'H3']
name: baseline1, hole_card: ['S3', 'S2']
name: b10705044, hole_card: ['HK', 'H3']
community cards of this round: ['C9', 'D7', 'C8', 'H7', 'HK']
name: baseline1, hole_card: ['D9', 'DA']
name: b10705044, hole_card: ['S2', 'SK']
name: baseline1, hole_card: ['D9', 'DA']
name: b10705044, hole_card: ['S2', 'SK']
name: baseline1, hole_card: ['D9', 'DA']
name: b10705044, hole_card: ['S2', 'SK']
name: baseline1, hole_card: ['D9', 'DA']
name: b10705044, hole_card: ['S2', 'SK']
name: baseline1, hole_card: ['D9', 'DA']
name: b10705044, hole_card: ['S2', 'SK']
name: baseline1, hole_card: ['D9', 'DA']
name: b10705044, hole_card: ['S2', 'SK']
name: baseline1, hole_card: ['D9', 'DA']
name: b10705044, hole_card: ['S2', 'SK']
name: baseline1, hole_card: ['D9', 'DA']
name: b10705044, hole_card: ['S2', 'SK']
name: baseline1, hole_card: ['D9', 'DA']
name: b10705044, hole_card: ['S2', 'SK']
community cards of this round: ['SK', 'HT', 'H2', 'SQ', 'DJ']
name: baseline1, hole_card: ['HA', 'C4']
name: b10705044, hole_card: ['CA', 'C6']
name: baseline1, hole_card: ['HA', 'C4']
name: b10705044, hole_card: ['CA', 'C6']
name: baseline1, hole_card: ['HA', 'C4']
name: b10705044, hole_card: ['CA', 'C6']
name: baseline1, hole_card: ['HA', 'C4']
name: b10705044, hole_card: ['CA', 'C6']
name: baseline1, hole_card: ['HA', 'C4']
name: b10705044, hole_card: ['CA', 'C6']
name: baseline1, hole_card: ['HA', 'C4']
name: b10705044, hole_card: ['CA', 'C6']
name: baseline1, hole_card: ['HA', 'C4']
name: b10705044, hole_card: ['CA', 'C6']
name: baseline1, hole_card: ['HA', 'C4']
name: b10705044, hole_card: ['CA', 'C6']
name: baseline1, hole_card: ['HA', 'C4']
name: b10705044, hole_card: ['CA', 'C6']
name: baseline1, hole_card: ['HA', 'C4']
name: b10705044, hole_card: ['CA', 'C6']
b10705044 vs baseline1 - Game 1: {'rule': {'initial_stack': 1000, 'max_round': 20, 'small_blind_amount': 5, 'ante': 0, 'blind_structure': {}}, 'players': [{'name': 'baseline1', 'uuid': 'sydzvpueadloytvgujkmkc', 'stack': 1878.6875, 'state': 'participating'}, {'name': 'b10705044', 'uuid': 'jkwdjwyfrnidmqkuqqvpmn', 'stack': 120.0, 'state': 'participating'}]}
community cards of this round: ['D7', 'D2', 'C7', 'H9', 'HA']
name: b10705044, hole_card: ['C3', 'S5']
name: baseline1, hole_card: ['C4', 'H5']
name: b10705044, hole_card: ['C3', 'S5']
name: baseline1, hole_card: ['C4', 'H5']
name: b10705044, hole_card: ['C3', 'S5']
name: baseline1, hole_card: ['C4', 'H5']
name: b10705044, hole_card: ['C3', 'S5']
name: baseline1, hole_card: ['C4', 'H5']
name: b10705044, hole_card: ['C3', 'S5']
name: baseline1, hole_card: ['C4', 'H5']
community cards of this round: ['HT', 'D3', 'SK', 'S2', 'C5']
name: b10705044, hole_card: ['D7', 'DJ']
name: baseline1, hole_card: ['DA', 'CK']
name: b10705044, hole_card: ['D7', 'DJ']
name: baseline1, hole_card: ['DA', 'CK']
name: b10705044, hole_card: ['D7', 'DJ']
name: baseline1, hole_card: ['DA', 'CK']
name: b10705044, hole_card: ['D7', 'DJ']
name: baseline1, hole_card: ['DA', 'CK']
name: b10705044, hole_card: ['D7', 'DJ']
name: baseline1, hole_card: ['DA', 'CK']
name: b10705044, hole_card: ['D7', 'DJ']
name: baseline1, hole_card: ['DA', 'CK']
name: b10705044, hole_card: ['D7', 'DJ']
name: baseline1, hole_card: ['DA', 'CK']
community cards of this round: ['H7', 'H2', 'DT', 'S2', 'H9']
name: b10705044, hole_card: ['SA', 'SK']
name: baseline1, hole_card: ['C3', 'S8']
name: b10705044, hole_card: ['SA', 'SK']
name: baseline1, hole_card: ['C3', 'S8']
name: b10705044, hole_card: ['SA', 'SK']
name: baseline1, hole_card: ['C3', 'S8']
name: b10705044, hole_card: ['SA', 'SK']
name: baseline1, hole_card: ['C3', 'S8']
name: b10705044, hole_card: ['SA', 'SK']
name: baseline1, hole_card: ['C3', 'S8']
community cards of this round: ['HT', 'H7', 'DJ', 'C8', 'D9']
name: b10705044, hole_card: ['DK', 'ST']
name: baseline1, hole_card: ['CA', 'HQ']
name: b10705044, hole_card: ['DK', 'ST']
name: baseline1, hole_card: ['CA', 'HQ']
name: b10705044, hole_card: ['DK', 'ST']
name: baseline1, hole_card: ['CA', 'HQ']
name: b10705044, hole_card: ['DK', 'ST']
name: baseline1, hole_card: ['CA', 'HQ']
name: b10705044, hole_card: ['DK', 'ST']
name: baseline1, hole_card: ['CA', 'HQ']
name: b10705044, hole_card: ['DK', 'ST']
name: baseline1, hole_card: ['CA', 'HQ']
name: b10705044, hole_card: ['DK', 'ST']
name: baseline1, hole_card: ['CA', 'HQ']
name: b10705044, hole_card: ['DK', 'ST']
name: baseline1, hole_card: ['CA', 'HQ']
name: b10705044, hole_card: ['DK', 'ST']
name: baseline1, hole_card: ['CA', 'HQ']
name: b10705044, hole_card: ['DK', 'ST']
name: baseline1, hole_card: ['CA', 'HQ']
community cards of this round: ['SQ', 'D6', 'C9', 'SA', 'H2']
name: b10705044, hole_card: ['H4', 'CA']
name: baseline1, hole_card: ['CQ', 'DK']
name: b10705044, hole_card: ['H4', 'CA']
name: baseline1, hole_card: ['CQ', 'DK']
name: b10705044, hole_card: ['H4', 'CA']
name: baseline1, hole_card: ['CQ', 'DK']
name: b10705044, hole_card: ['H4', 'CA']
name: baseline1, hole_card: ['CQ', 'DK']
name: b10705044, hole_card: ['H4', 'CA']
name: baseline1, hole_card: ['CQ', 'DK']
name: b10705044, hole_card: ['H4', 'CA']
name: baseline1, hole_card: ['CQ', 'DK']
name: b10705044, hole_card: ['H4', 'CA']
name: baseline1, hole_card: ['CQ', 'DK']
name: b10705044, hole_card: ['H4', 'CA']
name: baseline1, hole_card: ['CQ', 'DK']
community cards of this round: ['C4', 'H4', 'S6', 'H7', 'DJ']
name: b10705044, hole_card: ['H9', 'H5']
name: baseline1, hole_card: ['HJ', 'D7']
name: b10705044, hole_card: ['H9', 'H5']
name: baseline1, hole_card: ['HJ', 'D7']
name: b10705044, hole_card: ['H9', 'H5']
name: baseline1, hole_card: ['HJ', 'D7']
name: b10705044, hole_card: ['H9', 'H5']
name: baseline1, hole_card: ['HJ', 'D7']
name: b10705044, hole_card: ['H9', 'H5']
name: baseline1, hole_card: ['HJ', 'D7']
name: b10705044, hole_card: ['H9', 'H5']
name: baseline1, hole_card: ['HJ', 'D7']
name: b10705044, hole_card: ['H9', 'H5']
