name: b09901028, hole_card: ['D4', 'DQ']
name: baseline1, hole_card: ['C4', 'C3']
name: b09901028, hole_card: ['D4', 'DQ']
name: baseline1, hole_card: ['C4', 'C3']
community cards of this round: ['H9', 'D6', 'DA', 'H6', 'DK']
name: b09901028, hole_card: ['D3', 'H3']
name: baseline1, hole_card: ['C2', 'H4']
name: b09901028, hole_card: ['D3', 'H3']
name: baseline1, hole_card: ['C2', 'H4']
name: b09901028, hole_card: ['D3', 'H3']
name: baseline1, hole_card: ['C2', 'H4']
name: b09901028, hole_card: ['D3', 'H3']
name: baseline1, hole_card: ['C2', 'H4']
community cards of this round: ['DA', 'CJ', 'D3', 'H5', 'C6']
name: b09901028, hole_card: ['C5', 'D4']
name: baseline1, hole_card: ['HQ', 'SK']
name: b09901028, hole_card: ['C5', 'D4']
name: baseline1, hole_card: ['HQ', 'SK']
name: b09901028, hole_card: ['C5', 'D4']
name: baseline1, hole_card: ['HQ', 'SK']
name: b09901028, hole_card: ['C5', 'D4']
name: baseline1, hole_card: ['HQ', 'SK']
name: b09901028, hole_card: ['C5', 'D4']
name: baseline1, hole_card: ['HQ', 'SK']
name: b09901028, hole_card: ['C5', 'D4']
name: baseline1, hole_card: ['HQ', 'SK']
name: b09901028, hole_card: ['C5', 'D4']
name: baseline1, hole_card: ['HQ', 'SK']
name: b09901028, hole_card: ['C5', 'D4']
name: baseline1, hole_card: ['HQ', 'SK']
name: b09901028, hole_card: ['C5', 'D4']
name: baseline1, hole_card: ['HQ', 'SK']
community cards of this round: ['C6', 'S4', 'HA', 'S9', 'SJ']
name: b09901028, hole_card: ['DQ', 'CT']
name: baseline1, hole_card: ['D2', 'HJ']
name: b09901028, hole_card: ['DQ', 'CT']
name: baseline1, hole_card: ['D2', 'HJ']
name: b09901028, hole_card: ['DQ', 'CT']
name: baseline1, hole_card: ['D2', 'HJ']
name: b09901028, hole_card: ['DQ', 'CT']
name: baseline1, hole_card: ['D2', 'HJ']
name: b09901028, hole_card: ['DQ', 'CT']
name: baseline1, hole_card: ['D2', 'HJ']
name: b09901028, hole_card: ['DQ', 'CT']
name: baseline1, hole_card: ['D2', 'HJ']
community cards of this round: ['CA', 'SQ', 'S9', 'H8', 'D6']
name: b09901028, hole_card: ['D4', 'HK']
name: baseline1, hole_card: ['DT', 'D9']
name: b09901028, hole_card: ['D4', 'HK']
name: baseline1, hole_card: ['DT', 'D9']
name: b09901028, hole_card: ['D4', 'HK']
name: baseline1, hole_card: ['DT', 'D9']
name: b09901028, hole_card: ['D4', 'HK']
name: baseline1, hole_card: ['DT', 'D9']
name: b09901028, hole_card: ['D4', 'HK']
name: baseline1, hole_card: ['DT', 'D9']
name: b09901028, hole_card: ['D4', 'HK']
name: baseline1, hole_card: ['DT', 'D9']
name: b09901028, hole_card: ['D4', 'HK']
name: baseline1, hole_card: ['DT', 'D9']
name: b09901028, hole_card: ['D4', 'HK']
name: baseline1, hole_card: ['DT', 'D9']
