name: b10902063, hole_card: ['D7', 'C4']
name: baseline1, hole_card: ['HT', 'D6']
name: b10902063, hole_card: ['D7', 'C4']
community cards of this round: ['D9', 'H9', 'DK', 'DQ', 'D5']
name: baseline1, hole_card: ['H8', 'D6']
name: b10902063, hole_card: ['HT', 'SQ']
name: baseline1, hole_card: ['H8', 'D6']
name: b10902063, hole_card: ['HT', 'SQ']
community cards of this round: ['DT', 'HJ', 'DA', 'D9', 'S6']
name: baseline1, hole_card: ['C7', 'CK']
name: b10902063, hole_card: ['SQ', 'C4']
name: baseline1, hole_card: ['C7', 'CK']
name: b10902063, hole_card: ['SQ', 'C4']
name: baseline1, hole_card: ['C7', 'CK']
name: b10902063, hole_card: ['SQ', 'C4']
b10902063 vs baseline1 - Game 3: {'rule': {'initial_stack': 1000, 'max_round': 20, 'small_blind_amount': 5, 'ante': 0, 'blind_structure': {}}, 'players': [{'name': 'baseline1', 'uuid': 'kxvvryomwnzjpciwdexmti', 'stack': 946.008125, 'state': 'participating'}, {'name': 'b10902063', 'uuid': 'wrhofoxfftylbsslqhbhkp', 'stack': 1053.35771875, 'state': 'participating'}]}
community cards of this round: ['C7', 'CK', 'D8', 'H9', 'DQ']
name: b10902063, hole_card: ['H8', 'HJ']
name: baseline1, hole_card: ['C4', 'D3']
name: b10902063, hole_card: ['H8', 'HJ']
name: baseline1, hole_card: ['C4', 'D3']
name: b10902063, hole_card: ['H8', 'HJ']
name: baseline1, hole_card: ['C4', 'D3']
name: b10902063, hole_card: ['H8', 'HJ']
name: baseline1, hole_card: ['C4', 'D3']
name: b10902063, hole_card: ['H8', 'HJ']
name: baseline1, hole_card: ['C4', 'D3']
community cards of this round: ['D2', 'HQ', 'SQ', 'SJ', 'CJ']
name: b10902063, hole_card: ['H3', 'C3']
name: baseline1, hole_card: ['CT', 'C7']
name: b10902063, hole_card: ['H3', 'C3']
name: baseline1, hole_card: ['CT', 'C7']
name: b10902063, hole_card: ['H3', 'C3']
name: baseline1, hole_card: ['CT', 'C7']
name: b10902063, hole_card: ['H3', 'C3']
name: baseline1, hole_card: ['CT', 'C7']
name: b10902063, hole_card: ['H3', 'C3']
name: baseline1, hole_card: ['CT', 'C7']
name: b10902063, hole_card: ['H3', 'C3']
name: baseline1, hole_card: ['CT', 'C7']
name: b10902063, hole_card: ['H3', 'C3']
name: baseline1, hole_card: ['CT', 'C7']
name: b10902063, hole_card: ['H3', 'C3']
name: baseline1, hole_card: ['CT', 'C7']
name: b10902063, hole_card: ['H3', 'C3']
name: baseline1, hole_card: ['CT', 'C7']
community cards of this round: ['SQ', 'HK', 'D2', 'C5', 'D8']
