community cards of this round: ['D9', 'SQ', 'C7', 'SA', 'S4']
name: baseline1, hole_card: ['H2', 'S8']
name: b10902076, hole_card: ['H3', 'SJ']
name: baseline1, hole_card: ['H2', 'S8']
name: b10902076, hole_card: ['H3', 'SJ']
name: baseline1, hole_card: ['H2', 'S8']
name: b10902076, hole_card: ['H3', 'SJ']
name: baseline1, hole_card: ['H2', 'S8']
name: b10902076, hole_card: ['H3', 'SJ']
community cards of this round: ['S9', 'C2', 'C8', 'D9', 'HK']
name: baseline1, hole_card: ['CA', 'D4']
name: b10902076, hole_card: ['HT', 'H4']
name: baseline1, hole_card: ['CA', 'D4']
name: b10902076, hole_card: ['HT', 'H4']
name: baseline1, hole_card: ['CA', 'D4']
name: b10902076, hole_card: ['HT', 'H4']
name: baseline1, hole_card: ['CA', 'D4']
name: b10902076, hole_card: ['HT', 'H4']
name: baseline1, hole_card: ['CA', 'D4']
name: b10902076, hole_card: ['HT', 'H4']
name: baseline1, hole_card: ['CA', 'D4']
name: b10902076, hole_card: ['HT', 'H4']
name: baseline1, hole_card: ['CA', 'D4']
name: b10902076, hole_card: ['HT', 'H4']
name: baseline1, hole_card: ['CA', 'D4']
name: b10902076, hole_card: ['HT', 'H4']
name: baseline1, hole_card: ['CA', 'D4']
name: b10902076, hole_card: ['HT', 'H4']
community cards of this round: ['H2', 'SJ', 'SA', 'HA', 'C8']
name: baseline1, hole_card: ['S8', 'C6']
name: b10902076, hole_card: ['ST', 'S2']
name: baseline1, hole_card: ['S8', 'C6']
name: b10902076, hole_card: ['ST', 'S2']
name: baseline1, hole_card: ['S8', 'C6']
name: b10902076, hole_card: ['ST', 'S2']
name: baseline1, hole_card: ['S8', 'C6']
name: b10902076, hole_card: ['ST', 'S2']
name: baseline1, hole_card: ['S8', 'C6']
name: b10902076, hole_card: ['ST', 'S2']
name: baseline1, hole_card: ['S8', 'C6']
name: b10902076, hole_card: ['ST', 'S2']
community cards of this round: ['H9', 'H2', 'HT', 'HK', 'CT']
name: baseline1, hole_card: ['C8', 'SK']
name: b10902076, hole_card: ['H8', 'S8']
name: baseline1, hole_card: ['C8', 'SK']
name: b10902076, hole_card: ['H8', 'S8']
