name: b10902109, hole_card: ['CK', 'CJ']
name: baseline2, hole_card: ['S4', 'D5']
community cards of this round: ['SJ', 'C2', 'SK', 'HQ', 'D9']
name: b10902109, hole_card: ['D7', 'S8']
name: baseline2, hole_card: ['H9', 'D6']
name: b10902109, hole_card: ['D7', 'S8']
name: baseline2, hole_card: ['H9', 'D6']
name: b10902109, hole_card: ['D7', 'S8']
name: baseline2, hole_card: ['H9', 'D6']
community cards of this round: ['H5', 'S2', 'SQ', 'CK', 'S8']
name: b10902109, hole_card: ['HQ', 'DJ']
name: baseline2, hole_card: ['H3', 'C8']
name: b10902109, hole_card: ['HQ', 'DJ']
name: baseline2, hole_card: ['H3', 'C8']
community cards of this round: ['H7', 'C6', 'HJ', 'S2', 'H5']
name: b10902109, hole_card: ['CK', 'C3']
name: baseline2, hole_card: ['CA', 'S6']
name: b10902109, hole_card: ['CK', 'C3']
name: baseline2, hole_card: ['CA', 'S6']
name: b10902109, hole_card: ['CK', 'C3']
name: baseline2, hole_card: ['CA', 'S6']
community cards of this round: ['D5', 'C6', 'HQ', 'H7', 'DQ']
name: b10902109, hole_card: ['H9', 'S3']
name: baseline2, hole_card: ['HK', 'C8']
name: b10902109, hole_card: ['H9', 'S3']
name: baseline2, hole_card: ['HK', 'C8']
community cards of this round: ['DT', 'HT', 'D2', 'D5', 'D7']
name: b10902109, hole_card: ['D4', 'C4']
name: baseline2, hole_card: ['CQ', 'H3']
name: b10902109, hole_card: ['D4', 'C4']
name: baseline2, hole_card: ['CQ', 'H3']
name: b10902109, hole_card: ['D4', 'C4']
name: baseline2, hole_card: ['CQ', 'H3']
community cards of this round: ['HK', 'HQ', 'HT', 'H6', 'C7']
name: b10902109, hole_card: ['D7', 'S2']
name: baseline2, hole_card: ['H8', 'S4']
name: b10902109, hole_card: ['D7', 'S2']
name: baseline2, hole_card: ['H8', 'S4']
community cards of this round: ['DK', 'H3', 'C7', 'D6', 'DJ']
name: b10902109, hole_card: ['C9', 'C2']
name: baseline2, hole_card: ['CA', 'S4']
name: b10902109, hole_card: ['C9', 'C2']
name: baseline2, hole_card: ['CA', 'S4']
name: b10902109, hole_card: ['C9', 'C2']
name: baseline2, hole_card: ['CA', 'S4']
community cards of this round: ['HA', 'S9', 'D3', 'SA', 'H4']
name: b10902109, hole_card: ['D7', 'D6']
name: baseline2, hole_card: ['C7', 'H3']
name: b10902109, hole_card: ['D7', 'D6']
name: baseline2, hole_card: ['C7', 'H3']
community cards of this round: ['CQ', 'H8', 'DK', 'C4', 'HQ']
name: b10902109, hole_card: ['C2', 'ST']
name: baseline2, hole_card: ['SQ', 'DQ']
name: b10902109, hole_card: ['C2', 'ST']
name: baseline2, hole_card: ['SQ', 'DQ']
name: b10902109, hole_card: ['C2', 'ST']
name: baseline2, hole_card: ['SQ', 'DQ']
community cards of this round: ['D4', 'S4', 'DQ', 'C2', 'SQ']
name: b10902109, hole_card: ['D2', 'DT']
name: baseline2, hole_card: ['DJ', 'HA']
name: b10902109, hole_card: ['D2', 'DT']
name: baseline2, hole_card: ['DJ', 'HA']
community cards of this round: ['D8', 'S9', 'D2', 'C8', 'D4']
name: b10902109, hole_card: ['H7', 'S6']
