community cards of this round: ['S4', 'DQ', 'S5', 'S8', 'D4']
name: baseline1, hole_card: ['S2', 'HA']
name: b10902014, hole_card: ['D9', 'SJ']
name: baseline1, hole_card: ['S2', 'HA']
name: b10902014, hole_card: ['D9', 'SJ']
name: baseline1, hole_card: ['S2', 'HA']
name: b10902014, hole_card: ['D9', 'SJ']
community cards of this round: ['ST', 'CK', 'CJ', 'DA', 'H3']
name: baseline1, hole_card: ['SJ', 'S4']
name: b10902014, hole_card: ['D7', 'D3']
name: baseline1, hole_card: ['SJ', 'S4']
name: b10902014, hole_card: ['D7', 'D3']
community cards of this round: ['HQ', 'C2', 'DA', 'SA', 'S6']
name: baseline1, hole_card: ['C8', 'H9']
name: b10902014, hole_card: ['H5', 'D5']
name: baseline1, hole_card: ['C8', 'H9']
name: b10902014, hole_card: ['H5', 'D5']
name: baseline1, hole_card: ['C8', 'H9']
name: b10902014, hole_card: ['H5', 'D5']
community cards of this round: ['H4', 'C9', 'C8', 'H8', 'CA']
name: baseline1, hole_card: ['S9', 'CJ']
name: b10902014, hole_card: ['S3', 'C5']
name: baseline1, hole_card: ['S9', 'CJ']
name: b10902014, hole_card: ['S3', 'C5']
community cards of this round: ['S8', 'SA', 'H7', 'C7', 'S6']
name: baseline1, hole_card: ['HA', 'H2']
name: b10902014, hole_card: ['ST', 'DA']
name: baseline1, hole_card: ['HA', 'H2']
name: b10902014, hole_card: ['ST', 'DA']
name: baseline1, hole_card: ['HA', 'H2']
name: b10902014, hole_card: ['ST', 'DA']
community cards of this round: ['C8', 'H5', 'CT', 'S7', 'ST']
name: baseline1, hole_card: ['SJ', 'D2']
name: b10902014, hole_card: ['C4', 'C5']
name: baseline1, hole_card: ['SJ', 'D2']
name: b10902014, hole_card: ['C4', 'C5']
community cards of this round: ['HK', 'H5', 'SJ', 'DQ', 'CK']
name: baseline1, hole_card: ['DT', 'HA']
name: b10902014, hole_card: ['S6', 'S4']
name: baseline1, hole_card: ['DT', 'HA']
name: b10902014, hole_card: ['S6', 'S4']
name: baseline1, hole_card: ['DT', 'HA']
name: b10902014, hole_card: ['S6', 'S4']
b10902014 vs baseline1 - Game 3: {'rule': {'initial_stack': 1000, 'max_round': 20, 'small_blind_amount': 5, 'ante': 0, 'blind_structure': {}}, 'players': [{'name': 'baseline1', 'uuid': 'feqsdusvzyklmacczyyolg', 'stack': 999, 'state': 'participating'}, {'name': 'b10902014', 'uuid': 'kgxpwjhanfpgzjhujtwwsq', 'stack': 1001, 'state': 'participating'}]}
community cards of this round: ['HT', 'DQ', 'S7', 'HK', 'D8']
name: b10902014, hole_card: ['CJ', 'DA']
name: baseline1, hole_card: ['C3', 'C4']
name: b10902014, hole_card: ['CJ', 'DA']
name: baseline1, hole_card: ['C3', 'C4']
name: b10902014, hole_card: ['CJ', 'DA']
name: baseline1, hole_card: ['C3', 'C4']
name: b10902014, hole_card: ['CJ', 'DA']
name: baseline1, hole_card: ['C3', 'C4']
name: b10902014, hole_card: ['CJ', 'DA']
name: baseline1, hole_card: ['C3', 'C4']
community cards of this round: ['ST', 'HJ', 'H5', 'CK', 'C6']
