name: b11902114, hole_card: ['HK', 'C8']
name: baseline1, hole_card: ['SJ', 'ST']
name: b11902114, hole_card: ['HK', 'C8']
name: baseline1, hole_card: ['SJ', 'ST']
name: b11902114, hole_card: ['HK', 'C8']
name: baseline1, hole_card: ['SJ', 'ST']
name: b11902114, hole_card: ['HK', 'C8']
name: baseline1, hole_card: ['SJ', 'ST']
name: b11902114, hole_card: ['HK', 'C8']
name: baseline1, hole_card: ['SJ', 'ST']
name: b11902114, hole_card: ['HK', 'C8']
name: baseline1, hole_card: ['SJ', 'ST']
name: b11902114, hole_card: ['HK', 'C8']
name: baseline1, hole_card: ['SJ', 'ST']
name: b11902114, hole_card: ['HK', 'C8']
name: baseline1, hole_card: ['SJ', 'ST']
name: b11902114, hole_card: ['HK', 'C8']
name: baseline1, hole_card: ['SJ', 'ST']
community cards of this round: ['H4', 'S6', 'S8', 'C8', 'DA']
name: b11902114, hole_card: ['D2', 'S2']
name: baseline1, hole_card: ['D6', 'S7']
