name: baseline1, hole_card: ['CK', 'D8']
name: b11902067, hole_card: ['D7', 'HJ']
community cards of this round: ['D9', 'DK', 'HJ', 'S4', 'H5']
name: baseline1, hole_card: ['S7', 'C7']
name: b11902067, hole_card: ['D6', 'CJ']
name: baseline1, hole_card: ['S7', 'C7']
name: b11902067, hole_card: ['D6', 'CJ']
community cards of this round: ['SK', 'D3', 'HT', 'CJ', 'D8']
name: baseline1, hole_card: ['S4', 'D9']
name: b11902067, hole_card: ['H8', 'H6']
name: baseline1, hole_card: ['S4', 'D9']
name: b11902067, hole_card: ['H8', 'H6']
name: baseline1, hole_card: ['S4', 'D9']
name: b11902067, hole_card: ['H8', 'H6']
community cards of this round: ['H8', 'HK', 'S9', 'CJ', 'D2']
name: baseline1, hole_card: ['ST', 'D4']
name: b11902067, hole_card: ['H2', 'SK']
name: baseline1, hole_card: ['ST', 'D4']
name: b11902067, hole_card: ['H2', 'SK']
community cards of this round: ['HT', 'D2', 'S4', 'D4', 'H6']
name: baseline1, hole_card: ['DJ', 'D7']
name: b11902067, hole_card: ['ST', 'H8']
name: baseline1, hole_card: ['DJ', 'D7']
name: b11902067, hole_card: ['ST', 'H8']
name: baseline1, hole_card: ['DJ', 'D7']
name: b11902067, hole_card: ['ST', 'H8']
community cards of this round: ['CA', 'CQ', 'SJ', 'D8', 'S5']
name: baseline1, hole_card: ['DT', 'C7']
name: b11902067, hole_card: ['CT', 'C5']
name: baseline1, hole_card: ['DT', 'C7']
name: b11902067, hole_card: ['CT', 'C5']
community cards of this round: ['CA', 'C5', 'H2', 'CQ', 'D3']
name: baseline1, hole_card: ['HJ', 'S3']
name: b11902067, hole_card: ['SA', 'C4']
name: baseline1, hole_card: ['HJ', 'S3']
name: b11902067, hole_card: ['SA', 'C4']
name: baseline1, hole_card: ['HJ', 'S3']
name: b11902067, hole_card: ['SA', 'C4']
b11902067 vs baseline1 - Game 3: {'rule': {'initial_stack': 1000, 'max_round': 20, 'small_blind_amount': 5, 'ante': 0, 'blind_structure': {}}, 'players': [{'name': 'baseline1', 'uuid': 'wgdgtlthnqovtfsuejcvus', 'stack': 970, 'state': 'participating'}, {'name': 'b11902067', 'uuid': 'ayxovokoyjwyybyhlqbfwm', 'stack': 1030, 'state': 'participating'}]}
community cards of this round: ['D9', 'CJ', 'SA', 'H4', 'D6']
name: b11902067, hole_card: ['H6', 'S4']
name: baseline1, hole_card: ['HQ', 'CT']
name: b11902067, hole_card: ['H6', 'S4']
name: baseline1, hole_card: ['HQ', 'CT']
name: b11902067, hole_card: ['H6', 'S4']
name: baseline1, hole_card: ['HQ', 'CT']
name: b11902067, hole_card: ['H6', 'S4']
name: baseline1, hole_card: ['HQ', 'CT']
name: b11902067, hole_card: ['H6', 'S4']
name: baseline1, hole_card: ['HQ', 'CT']
