name: b10902100, hole_card: ['D9', 'C6']
name: baseline1, hole_card: ['D2', 'HQ']
name: b10902100, hole_card: ['D9', 'C6']
name: baseline1, hole_card: ['D2', 'HQ']
name: b10902100, hole_card: ['D9', 'C6']
name: baseline1, hole_card: ['D2', 'HQ']
name: b10902100, hole_card: ['D9', 'C6']
name: baseline1, hole_card: ['D2', 'HQ']
name: b10902100, hole_card: ['D9', 'C6']
name: baseline1, hole_card: ['D2', 'HQ']
name: b10902100, hole_card: ['D9', 'C6']
name: baseline1, hole_card: ['D2', 'HQ']
name: b10902100, hole_card: ['D9', 'C6']
name: baseline1, hole_card: ['D2', 'HQ']
name: b10902100, hole_card: ['D9', 'C6']
name: baseline1, hole_card: ['D2', 'HQ']
name: b10902100, hole_card: ['D9', 'C6']
community cards of this round: ['C4', 'S5', 'H3', 'H9', 'D3']
name: baseline1, hole_card: ['DK', 'D8']
name: b10902100, hole_card: ['HK', 'SJ']
name: baseline1, hole_card: ['DK', 'D8']
name: b10902100, hole_card: ['HK', 'SJ']
name: baseline1, hole_card: ['DK', 'D8']
name: b10902100, hole_card: ['HK', 'SJ']
name: baseline1, hole_card: ['DK', 'D8']
name: b10902100, hole_card: ['HK', 'SJ']
community cards of this round: ['D3', 'C4', 'HK', 'DT', 'SQ']
name: baseline1, hole_card: ['CQ', 'H7']
name: b10902100, hole_card: ['H4', 'H6']
name: baseline1, hole_card: ['CQ', 'H7']
name: b10902100, hole_card: ['H4', 'H6']
community cards of this round: ['CK', 'SA', 'S9', 'D8', 'S5']
name: baseline1, hole_card: ['HQ', 'H5']
name: b10902100, hole_card: ['C4', 'DT']
name: baseline1, hole_card: ['HQ', 'H5']
name: b10902100, hole_card: ['C4', 'DT']
name: baseline1, hole_card: ['HQ', 'H5']
name: b10902100, hole_card: ['C4', 'DT']
community cards of this round: ['D7', 'S2', 'C3', 'H3', 'HK']
name: baseline1, hole_card: ['S9', 'ST']
name: b10902100, hole_card: ['HJ', 'H5']
name: baseline1, hole_card: ['S9', 'ST']
name: b10902100, hole_card: ['HJ', 'H5']
community cards of this round: ['S2', 'CQ', 'S6', 'D4', 'S4']
name: baseline1, hole_card: ['HA', 'D8']
name: b10902100, hole_card: ['DA', 'C5']
name: baseline1, hole_card: ['HA', 'D8']
name: b10902100, hole_card: ['DA', 'C5']
name: baseline1, hole_card: ['HA', 'D8']
name: b10902100, hole_card: ['DA', 'C5']
community cards of this round: ['HQ', 'D6', 'H7', 'D4', 'HT']
name: baseline1, hole_card: ['ST', 'DQ']
name: b10902100, hole_card: ['SJ', 'H2']
name: baseline1, hole_card: ['ST', 'DQ']
name: b10902100, hole_card: ['SJ', 'H2']
community cards of this round: ['H9', 'C4', 'H5', 'C3', 'C6']
name: baseline1, hole_card: ['DA', 'DT']
name: b10902100, hole_card: ['H7', 'SK']
name: baseline1, hole_card: ['DA', 'DT']
name: b10902100, hole_card: ['H7', 'SK']
name: baseline1, hole_card: ['DA', 'DT']
name: b10902100, hole_card: ['H7', 'SK']
community cards of this round: ['HA', 'S9', 'DQ', 'HK', 'C7']
name: baseline1, hole_card: ['C8', 'H5']
name: b10902100, hole_card: ['H2', 'C3']
name: baseline1, hole_card: ['C8', 'H5']
name: b10902100, hole_card: ['H2', 'C3']
community cards of this round: ['H4', 'D6', 'DA', 'CJ', 'H7']
name: baseline1, hole_card: ['H5', 'C7']
name: b10902100, hole_card: ['H3', 'C5']
name: baseline1, hole_card: ['H5', 'C7']
name: b10902100, hole_card: ['H3', 'C5']
name: baseline1, hole_card: ['H5', 'C7']
name: b10902100, hole_card: ['H3', 'C5']
community cards of this round: ['C7', 'H8', 'SJ', 'S4', 'SA']
name: baseline1, hole_card: ['DT', 'DA']
name: b10902100, hole_card: ['D4', 'HT']
name: baseline1, hole_card: ['DT', 'DA']
name: b10902100, hole_card: ['D4', 'HT']
community cards of this round: ['S9', 'S2', 'D9', 'C4', 'DQ']
name: baseline1, hole_card: ['D7', 'ST']
name: b10902100, hole_card: ['DT', 'S7']
name: baseline1, hole_card: ['D7', 'ST']
name: b10902100, hole_card: ['DT', 'S7']
name: baseline1, hole_card: ['D7', 'ST']
name: b10902100, hole_card: ['DT', 'S7']
community cards of this round: ['S8', 'DA', 'HQ', 'CT', 'DJ']
name: baseline1, hole_card: ['S7', 'D5']
name: b10902100, hole_card: ['C4', 'D6']
name: baseline1, hole_card: ['S7', 'D5']
name: b10902100, hole_card: ['C4', 'D6']
community cards of this round: ['SK', 'DJ', 'H4', 'S5', 'ST']
name: baseline1, hole_card: ['HT', 'S6']
name: b10902100, hole_card: ['DQ', 'S9']
name: baseline1, hole_card: ['HT', 'S6']
name: b10902100, hole_card: ['DQ', 'S9']
name: baseline1, hole_card: ['HT', 'S6']
name: b10902100, hole_card: ['DQ', 'S9']
community cards of this round: ['S4', 'D8', 'S5', 'DK', 'CQ']
name: baseline1, hole_card: ['SA', 'C2']
name: b10902100, hole_card: ['DJ', 'C4']
name: baseline1, hole_card: ['SA', 'C2']
name: b10902100, hole_card: ['DJ', 'C4']
community cards of this round: ['CQ', 'CJ', 'S6', 'C9', 'CA']
name: baseline1, hole_card: ['CK', 'C6']
name: b10902100, hole_card: ['C7', 'C8']
name: baseline1, hole_card: ['CK', 'C6']
name: b10902100, hole_card: ['C7', 'C8']
name: baseline1, hole_card: ['CK', 'C6']
name: b10902100, hole_card: ['C7', 'C8']
b10902100 vs baseline1 - Game 3: {'rule': {'initial_stack': 1000, 'max_round': 20, 'small_blind_amount': 5, 'ante': 0, 'blind_structure': {}}, 'players': [{'name': 'baseline1', 'uuid': 'tlqwznewjdimwwgywvfxer', 'stack': 667.0, 'state': 'participating'}, {'name': 'b10902100', 'uuid': 'gdcdcvhudpibfmfwdgfeaz', 'stack': 1332.0, 'state': 'participating'}]}
community cards of this round: ['SK', 'D6', 'C7', 'H7', 'S4']
name: b10902100, hole_card: ['S2', 'HQ']
name: baseline1, hole_card: ['S8', 'CQ']
name: b10902100, hole_card: ['S2', 'HQ']
name: baseline1, hole_card: ['S8', 'CQ']
name: b10902100, hole_card: ['S2', 'HQ']
name: baseline1, hole_card: ['S8', 'CQ']
name: b10902100, hole_card: ['S2', 'HQ']
name: baseline1, hole_card: ['S8', 'CQ']
name: b10902100, hole_card: ['S2', 'HQ']
name: baseline1, hole_card: ['S8', 'CQ']
name: b10902100, hole_card: ['S2', 'HQ']
name: baseline1, hole_card: ['S8', 'CQ']
name: b10902100, hole_card: ['S2', 'HQ']
name: baseline1, hole_card: ['S8', 'CQ']
name: b10902100, hole_card: ['S2', 'HQ']
name: baseline1, hole_card: ['S8', 'CQ']
name: b10902100, hole_card: ['S2', 'HQ']
name: baseline1, hole_card: ['S8', 'CQ']
community cards of this round: ['D7', 'SA', 'D4', 'DQ', 'S3']
name: b10902100, hole_card: ['S2', 'CK']
name: baseline1, hole_card: ['HK', 'H5']
name: b10902100, hole_card: ['S2', 'CK']
name: baseline1, hole_card: ['HK', 'H5']
name: b10902100, hole_card: ['S2', 'CK']
name: baseline1, hole_card: ['HK', 'H5']
name: b10902100, hole_card: ['S2', 'CK']
name: baseline1, hole_card: ['HK', 'H5']
name: b10902100, hole_card: ['S2', 'CK']
name: baseline1, hole_card: ['HK', 'H5']
name: b10902100, hole_card: ['S2', 'CK']
name: baseline1, hole_card: ['HK', 'H5']
name: b10902100, hole_card: ['S2', 'CK']
name: baseline1, hole_card: ['HK', 'H5']
name: b10902100, hole_card: ['S2', 'CK']
name: baseline1, hole_card: ['HK', 'H5']
name: b10902100, hole_card: ['S2', 'CK']
name: baseline1, hole_card: ['HK', 'H5']
community cards of this round: ['D5', 'HA', 'SA', 'DJ', 'DA']
name: b10902100, hole_card: ['D9', 'S5']
name: baseline1, hole_card: ['S2', 'C3']
name: b10902100, hole_card: ['D9', 'S5']
name: baseline1, hole_card: ['S2', 'C3']
name: b10902100, hole_card: ['D9', 'S5']
name: baseline1, hole_card: ['S2', 'C3']
community cards of this round: ['C2', 'S6', 'SJ', 'CT', 'C5']
name: b10902100, hole_card: ['HK', 'C7']
name: baseline1, hole_card: ['C6', 'C4']
name: b10902100, hole_card: ['HK', 'C7']
name: baseline1, hole_card: ['C6', 'C4']
name: b10902100, hole_card: ['HK', 'C7']
name: baseline1, hole_card: ['C6', 'C4']
name: b10902100, hole_card: ['HK', 'C7']
name: baseline1, hole_card: ['C6', 'C4']
name: b10902100, hole_card: ['HK', 'C7']
name: baseline1, hole_card: ['C6', 'C4']
name: b10902100, hole_card: ['HK', 'C7']
name: baseline1, hole_card: ['C6', 'C4']
name: b10902100, hole_card: ['HK', 'C7']
name: baseline1, hole_card: ['C6', 'C4']
name: b10902100, hole_card: ['HK', 'C7']
