name: baseline1, hole_card: ['S7', 'H8']
name: b11902110, hole_card: ['D5', 'DQ']
community cards of this round: ['D3', 'S5', 'HJ', 'S6', 'H9']
name: baseline1, hole_card: ['SJ', 'DK']
name: b11902110, hole_card: ['S3', 'H6']
name: baseline1, hole_card: ['SJ', 'DK']
name: b11902110, hole_card: ['S3', 'H6']
name: baseline1, hole_card: ['SJ', 'DK']
name: b11902110, hole_card: ['S3', 'H6']
name: baseline1, hole_card: ['SJ', 'DK']
name: b11902110, hole_card: ['S3', 'H6']
name: baseline1, hole_card: ['SJ', 'DK']
name: b11902110, hole_card: ['S3', 'H6']
name: baseline1, hole_card: ['SJ', 'DK']
name: b11902110, hole_card: ['S3', 'H6']
community cards of this round: ['D3', 'DT', 'D2', 'H5', 'H2']
name: baseline1, hole_card: ['S2', 'H6']
name: b11902110, hole_card: ['H7', 'C2']
name: baseline1, hole_card: ['S2', 'H6']
name: b11902110, hole_card: ['H7', 'C2']
community cards of this round: ['H6', 'C7', 'CQ', 'H5', 'D6']
name: baseline1, hole_card: ['CT', 'H8']
name: b11902110, hole_card: ['HA', 'D5']
name: baseline1, hole_card: ['CT', 'H8']
name: b11902110, hole_card: ['HA', 'D5']
name: baseline1, hole_card: ['CT', 'H8']
name: b11902110, hole_card: ['HA', 'D5']
community cards of this round: ['S3', 'C3', 'D3', 'H5', 'HK']
name: baseline1, hole_card: ['S2', 'S4']
name: b11902110, hole_card: ['D5', 'DT']
name: baseline1, hole_card: ['S2', 'S4']
name: b11902110, hole_card: ['D5', 'DT']
community cards of this round: ['H7', 'C3', 'D3', 'S3', 'DT']
name: baseline1, hole_card: ['H9', 'SK']
name: b11902110, hole_card: ['ST', 'H4']
name: baseline1, hole_card: ['H9', 'SK']
name: b11902110, hole_card: ['ST', 'H4']
name: baseline1, hole_card: ['H9', 'SK']
name: b11902110, hole_card: ['ST', 'H4']
community cards of this round: ['DA', 'HJ', 'H7', 'SK', 'D8']
name: baseline1, hole_card: ['CA', 'H6']
name: b11902110, hole_card: ['SJ', 'DQ']
name: baseline1, hole_card: ['CA', 'H6']
name: b11902110, hole_card: ['SJ', 'DQ']
community cards of this round: ['H3', 'H6', 'HJ', 'HT', 'ST']
name: baseline1, hole_card: ['D8', 'CA']
name: b11902110, hole_card: ['S9', 'DA']
name: baseline1, hole_card: ['D8', 'CA']
name: b11902110, hole_card: ['S9', 'DA']
name: baseline1, hole_card: ['D8', 'CA']
name: b11902110, hole_card: ['S9', 'DA']
community cards of this round: ['HJ', 'S2', 'C8', 'S9', 'C2']
name: baseline1, hole_card: ['C4', 'D7']
name: b11902110, hole_card: ['DJ', 'D8']
name: baseline1, hole_card: ['C4', 'D7']
name: b11902110, hole_card: ['DJ', 'D8']
community cards of this round: ['D4', 'ST', 'H3', 'S4', 'C3']
name: baseline1, hole_card: ['CJ', 'D8']
name: b11902110, hole_card: ['C8', 'H7']
name: baseline1, hole_card: ['CJ', 'D8']
name: b11902110, hole_card: ['C8', 'H7']
name: baseline1, hole_card: ['CJ', 'D8']
name: b11902110, hole_card: ['C8', 'H7']
community cards of this round: ['H6', 'ST', 'D8', 'CK', 'H7']
name: baseline1, hole_card: ['S9', 'S3']
name: b11902110, hole_card: ['S2', 'S8']
name: baseline1, hole_card: ['S9', 'S3']
name: b11902110, hole_card: ['S2', 'S8']
community cards of this round: ['ST', 'D2', 'C9', 'HQ', 'DT']
name: baseline1, hole_card: ['CQ', 'S3']
name: b11902110, hole_card: ['C3', 'S8']
name: baseline1, hole_card: ['CQ', 'S3']
name: b11902110, hole_card: ['C3', 'S8']
name: baseline1, hole_card: ['CQ', 'S3']
name: b11902110, hole_card: ['C3', 'S8']
community cards of this round: ['DJ', 'DK', 'C4', 'D2', 'D7']
name: baseline1, hole_card: ['SK', 'H6']
name: b11902110, hole_card: ['CA', 'SA']
name: baseline1, hole_card: ['SK', 'H6']
name: b11902110, hole_card: ['CA', 'SA']
community cards of this round: ['D4', 'C2', 'D7', 'D5', 'HJ']
name: baseline1, hole_card: ['S7', 'SK']
name: b11902110, hole_card: ['H8', 'D3']
name: baseline1, hole_card: ['S7', 'SK']
name: b11902110, hole_card: ['H8', 'D3']
name: baseline1, hole_card: ['S7', 'SK']
name: b11902110, hole_card: ['H8', 'D3']
community cards of this round: ['CJ', 'DQ', 'C9', 'C7', 'SK']
name: baseline1, hole_card: ['H8', 'H6']
name: b11902110, hole_card: ['S6', 'HT']
name: baseline1, hole_card: ['H8', 'H6']
name: b11902110, hole_card: ['S6', 'HT']
community cards of this round: ['S4', 'HK', 'D8', 'H4', 'SA']
name: baseline1, hole_card: ['H3', 'S8']
name: b11902110, hole_card: ['H5', 'SQ']
name: baseline1, hole_card: ['H3', 'S8']
name: b11902110, hole_card: ['H5', 'SQ']
name: baseline1, hole_card: ['H3', 'S8']
name: b11902110, hole_card: ['H5', 'SQ']
community cards of this round: ['S2', 'S3', 'C3', 'SA', 'ST']
name: baseline1, hole_card: ['SK', 'CQ']
name: b11902110, hole_card: ['HA', 'H2']
name: baseline1, hole_card: ['SK', 'CQ']
name: b11902110, hole_card: ['HA', 'H2']
community cards of this round: ['S4', 'DT', 'ST', 'HQ', 'C4']
name: baseline1, hole_card: ['D9', 'C6']
name: b11902110, hole_card: ['H2', 'C2']
name: baseline1, hole_card: ['D9', 'C6']
name: b11902110, hole_card: ['H2', 'C2']
name: baseline1, hole_card: ['D9', 'C6']
name: b11902110, hole_card: ['H2', 'C2']
b11902110 vs baseline1 - Game 3: {'rule': {'initial_stack': 1000, 'max_round': 20, 'small_blind_amount': 5, 'ante': 0, 'blind_structure': {}}, 'players': [{'name': 'baseline1', 'uuid': 'ekqxeuuoevmxfwahpriayw', 'stack': 853.75, 'state': 'participating'}, {'name': 'b11902110', 'uuid': 'nbuguujphnoolwgfvqwedk', 'stack': 1146, 'state': 'participating'}]}
community cards of this round: ['C9', 'C6', 'DK', 'S8', 'CK']
name: b11902110, hole_card: ['H3', 'D5']
name: baseline1, hole_card: ['CT', 'H2']
name: b11902110, hole_card: ['H3', 'D5']
name: baseline1, hole_card: ['CT', 'H2']
name: b11902110, hole_card: ['H3', 'D5']
name: baseline1, hole_card: ['CT', 'H2']
name: b11902110, hole_card: ['H3', 'D5']
name: baseline1, hole_card: ['CT', 'H2']
name: b11902110, hole_card: ['H3', 'D5']
name: baseline1, hole_card: ['CT', 'H2']
name: b11902110, hole_card: ['H3', 'D5']
name: baseline1, hole_card: ['CT', 'H2']
community cards of this round: ['C8', 'S3', 'H6', 'S7', 'DK']
name: b11902110, hole_card: ['S5', 'HJ']
name: baseline1, hole_card: ['H9', 'D6']
name: b11902110, hole_card: ['S5', 'HJ']
name: baseline1, hole_card: ['H9', 'D6']
name: b11902110, hole_card: ['S5', 'HJ']
name: baseline1, hole_card: ['H9', 'D6']
name: b11902110, hole_card: ['S5', 'HJ']
name: baseline1, hole_card: ['H9', 'D6']
name: b11902110, hole_card: ['S5', 'HJ']
name: baseline1, hole_card: ['H9', 'D6']
name: b11902110, hole_card: ['S5', 'HJ']
name: baseline1, hole_card: ['H9', 'D6']
community cards of this round: ['DT', 'HT', 'SA', 'D8', 'C6']
name: b11902110, hole_card: ['S7', 'H8']
name: baseline1, hole_card: ['D5', 'DQ']
name: b11902110, hole_card: ['S7', 'H8']
name: baseline1, hole_card: ['D5', 'DQ']
name: b11902110, hole_card: ['S7', 'H8']
name: baseline1, hole_card: ['D5', 'DQ']
name: b11902110, hole_card: ['S7', 'H8']
name: baseline1, hole_card: ['D5', 'DQ']
name: b11902110, hole_card: ['S7', 'H8']
name: baseline1, hole_card: ['D5', 'DQ']
name: b11902110, hole_card: ['S7', 'H8']
name: baseline1, hole_card: ['D5', 'DQ']
name: b11902110, hole_card: ['S7', 'H8']
name: baseline1, hole_card: ['D5', 'DQ']
name: b11902110, hole_card: ['S7', 'H8']
name: baseline1, hole_card: ['D5', 'DQ']
name: b11902110, hole_card: ['S7', 'H8']
name: baseline1, hole_card: ['D5', 'DQ']
community cards of this round: ['D3', 'S5', 'HJ', 'S6', 'H9']
name: b11902110, hole_card: ['SJ', 'DK']
name: baseline1, hole_card: ['S3', 'H6']
name: b11902110, hole_card: ['SJ', 'DK']
name: baseline1, hole_card: ['S3', 'H6']
name: b11902110, hole_card: ['SJ', 'DK']
name: baseline1, hole_card: ['S3', 'H6']
name: b11902110, hole_card: ['SJ', 'DK']
name: baseline1, hole_card: ['S3', 'H6']
community cards of this round: ['D3', 'DT', 'D2', 'H5', 'H2']
name: b11902110, hole_card: ['S2', 'H6']
name: baseline1, hole_card: ['H7', 'C2']
name: b11902110, hole_card: ['S2', 'H6']
name: baseline1, hole_card: ['H7', 'C2']
name: b11902110, hole_card: ['S2', 'H6']
name: baseline1, hole_card: ['H7', 'C2']
name: b11902110, hole_card: ['S2', 'H6']
name: baseline1, hole_card: ['H7', 'C2']
name: b11902110, hole_card: ['S2', 'H6']
name: baseline1, hole_card: ['H7', 'C2']
community cards of this round: ['H6', 'C7', 'CQ', 'H5', 'D6']
name: b11902110, hole_card: ['CT', 'H8']
name: baseline1, hole_card: ['HA', 'D5']
name: b11902110, hole_card: ['CT', 'H8']
