name: baseline1, hole_card: ['CT', 'C8']
name: b09701214, hole_card: ['C4', 'HT']
community cards of this round: ['DJ', 'CK', 'S3', 'SK', 'HK']
name: baseline1, hole_card: ['HA', 'H3']
name: b09701214, hole_card: ['D3', 'DQ']
name: baseline1, hole_card: ['HA', 'H3']
name: b09701214, hole_card: ['D3', 'DQ']
name: baseline1, hole_card: ['HA', 'H3']
name: b09701214, hole_card: ['D3', 'DQ']
name: baseline1, hole_card: ['HA', 'H3']
name: b09701214, hole_card: ['D3', 'DQ']
name: baseline1, hole_card: ['HA', 'H3']
name: b09701214, hole_card: ['D3', 'DQ']
name: baseline1, hole_card: ['HA', 'H3']
name: b09701214, hole_card: ['D3', 'DQ']
name: baseline1, hole_card: ['HA', 'H3']
name: b09701214, hole_card: ['D3', 'DQ']
name: baseline1, hole_card: ['HA', 'H3']
name: b09701214, hole_card: ['D3', 'DQ']
name: baseline1, hole_card: ['HA', 'H3']
name: b09701214, hole_card: ['D3', 'DQ']
name: baseline1, hole_card: ['HA', 'H3']
name: b09701214, hole_card: ['D3', 'DQ']
name: baseline1, hole_card: ['HA', 'H3']
name: b09701214, hole_card: ['D3', 'DQ']
name: baseline1, hole_card: ['HA', 'H3']
name: b09701214, hole_card: ['D3', 'DQ']
name: baseline1, hole_card: ['HA', 'H3']
name: b09701214, hole_card: ['D3', 'DQ']
community cards of this round: ['CK', 'DT', 'C5', 'DK', 'H4']
name: baseline1, hole_card: ['H9', 'S3']
name: b09701214, hole_card: ['D9', 'H6']
name: baseline1, hole_card: ['H9', 'S3']
name: b09701214, hole_card: ['D9', 'H6']
name: baseline1, hole_card: ['H9', 'S3']
name: b09701214, hole_card: ['D9', 'H6']
name: baseline1, hole_card: ['H9', 'S3']
name: b09701214, hole_card: ['D9', 'H6']
name: baseline1, hole_card: ['H9', 'S3']
name: b09701214, hole_card: ['D9', 'H6']
name: baseline1, hole_card: ['H9', 'S3']
name: b09701214, hole_card: ['D9', 'H6']
name: baseline1, hole_card: ['H9', 'S3']
name: b09701214, hole_card: ['D9', 'H6']
