name: baseline1, hole_card: ['DQ', 'C5']
community cards of this round: ['C6', 'HQ', 'CT', 'SA', 'H8']
name: b10902075, hole_card: ['DT', 'C8']
name: baseline1, hole_card: ['H9', 'S8']
name: b10902075, hole_card: ['DT', 'C8']
name: baseline1, hole_card: ['H9', 'S8']
name: b10902075, hole_card: ['DT', 'C8']
name: baseline1, hole_card: ['H9', 'S8']
community cards of this round: ['H7', 'CT', 'HA', 'H3', 'C9']
name: b10902075, hole_card: ['D6', 'SQ']
name: baseline1, hole_card: ['CJ', 'C4']
name: b10902075, hole_card: ['D6', 'SQ']
name: baseline1, hole_card: ['CJ', 'C4']
community cards of this round: ['H9', 'H5', 'D2', 'S6', 'DK']
name: b10902075, hole_card: ['SA', 'C9']
name: baseline1, hole_card: ['H2', 'D6']
name: b10902075, hole_card: ['SA', 'C9']
name: baseline1, hole_card: ['H2', 'D6']
name: b10902075, hole_card: ['SA', 'C9']
name: baseline1, hole_card: ['H2', 'D6']
community cards of this round: ['D4', 'S3', 'HA', 'S7', 'DK']
name: b10902075, hole_card: ['C9', 'HT']
name: baseline1, hole_card: ['C8', 'D9']
name: b10902075, hole_card: ['C9', 'HT']
name: baseline1, hole_card: ['C8', 'D9']
community cards of this round: ['S6', 'C8', 'S8', 'D9', 'D4']
name: b10902075, hole_card: ['C9', 'S2']
name: baseline1, hole_card: ['CQ', 'C5']
name: b10902075, hole_card: ['C9', 'S2']
name: baseline1, hole_card: ['CQ', 'C5']
name: b10902075, hole_card: ['C9', 'S2']
name: baseline1, hole_card: ['CQ', 'C5']
community cards of this round: ['D2', 'S3', 'H2', 'DJ', 'S7']
name: b10902075, hole_card: ['C8', 'S6']
name: baseline1, hole_card: ['HK', 'DQ']
name: b10902075, hole_card: ['C8', 'S6']
name: baseline1, hole_card: ['HK', 'DQ']
b10902075 vs baseline1 - Game 2: {'rule': {'initial_stack': 1000, 'max_round': 20, 'small_blind_amount': 5, 'ante': 0, 'blind_structure': {}}, 'players': [{'name': 'b10902075', 'uuid': 'dpooiktfpijeyytinniqcg', 'stack': 1140, 'state': 'participating'}, {'name': 'baseline1', 'uuid': 'zanqqoezdggesfoivxckgj', 'stack': 859.25, 'state': 'participating'}]}
community cards of this round: ['C5', 'SA', 'D2', 'CK', 'HJ']
name: baseline1, hole_card: ['DA', 'CA']
name: b10902075, hole_card: ['DQ', 'DT']
name: baseline1, hole_card: ['DA', 'CA']
name: b10902075, hole_card: ['DQ', 'DT']
name: baseline1, hole_card: ['DA', 'CA']
name: b10902075, hole_card: ['DQ', 'DT']
name: baseline1, hole_card: ['DA', 'CA']
name: b10902075, hole_card: ['DQ', 'DT']
community cards of this round: ['SA', 'H3', 'S3', 'C8', 'CJ']
name: baseline1, hole_card: ['HK', 'S4']
name: b10902075, hole_card: ['HQ', 'DJ']
name: baseline1, hole_card: ['HK', 'S4']
name: b10902075, hole_card: ['HQ', 'DJ']
name: baseline1, hole_card: ['HK', 'S4']
name: b10902075, hole_card: ['HQ', 'DJ']
name: baseline1, hole_card: ['HK', 'S4']
name: b10902075, hole_card: ['HQ', 'DJ']
name: baseline1, hole_card: ['HK', 'S4']
name: b10902075, hole_card: ['HQ', 'DJ']
name: baseline1, hole_card: ['HK', 'S4']
name: b10902075, hole_card: ['HQ', 'DJ']
name: baseline1, hole_card: ['HK', 'S4']
name: b10902075, hole_card: ['HQ', 'DJ']
name: baseline1, hole_card: ['HK', 'S4']
name: b10902075, hole_card: ['HQ', 'DJ']
