name: b10902034, hole_card: ['DK', 'D7']
name: baseline1, hole_card: ['D6', 'HA']
name: b10902034, hole_card: ['DK', 'D7']
name: baseline1, hole_card: ['D6', 'HA']
name: b10902034, hole_card: ['DK', 'D7']
name: baseline1, hole_card: ['D6', 'HA']
name: b10902034, hole_card: ['DK', 'D7']
name: baseline1, hole_card: ['D6', 'HA']
name: b10902034, hole_card: ['DK', 'D7']
name: baseline1, hole_card: ['D6', 'HA']
name: b10902034, hole_card: ['DK', 'D7']
name: baseline1, hole_card: ['D6', 'HA']
name: b10902034, hole_card: ['DK', 'D7']
name: baseline1, hole_card: ['D6', 'HA']
community cards of this round: ['H4', 'CK', 'S4', 'C3', 'C9']
name: b10902034, hole_card: ['D5', 'H2']
name: baseline1, hole_card: ['D8', 'S9']
name: b10902034, hole_card: ['D5', 'H2']
name: baseline1, hole_card: ['D8', 'S9']
community cards of this round: ['CK', 'D6', 'H9', 'S4', 'HK']
name: b10902034, hole_card: ['HT', 'H8']
name: baseline1, hole_card: ['D7', 'H5']
name: b10902034, hole_card: ['HT', 'H8']
name: baseline1, hole_card: ['D7', 'H5']
name: b10902034, hole_card: ['HT', 'H8']
name: baseline1, hole_card: ['D7', 'H5']
name: b10902034, hole_card: ['HT', 'H8']
name: baseline1, hole_card: ['D7', 'H5']
community cards of this round: ['CT', 'H8', 'CQ', 'H5', 'C5']
name: b10902034, hole_card: ['DQ', 'C2']
name: baseline1, hole_card: ['D3', 'D5']
name: b10902034, hole_card: ['DQ', 'C2']
name: baseline1, hole_card: ['D3', 'D5']
community cards of this round: ['H7', 'S3', 'H2', 'CA', 'ST']
name: b10902034, hole_card: ['DJ', 'D5']
name: baseline1, hole_card: ['H6', 'SJ']
name: b10902034, hole_card: ['DJ', 'D5']
name: baseline1, hole_card: ['H6', 'SJ']
name: b10902034, hole_card: ['DJ', 'D5']
name: baseline1, hole_card: ['H6', 'SJ']
community cards of this round: ['SA', 'HT', 'C8', 'SK', 'D5']
name: b10902034, hole_card: ['H8', 'C6']
name: baseline1, hole_card: ['CT', 'C9']
name: b10902034, hole_card: ['H8', 'C6']
name: baseline1, hole_card: ['CT', 'C9']
community cards of this round: ['ST', 'SQ', 'D6', 'D7', 'S8']
name: b10902034, hole_card: ['HT', 'S7']
name: baseline1, hole_card: ['C3', 'D2']
name: b10902034, hole_card: ['HT', 'S7']
name: baseline1, hole_card: ['C3', 'D2']
name: b10902034, hole_card: ['HT', 'S7']
name: baseline1, hole_card: ['C3', 'D2']
community cards of this round: ['CQ', 'D7', 'HQ', 'DQ', 'DA']
name: b10902034, hole_card: ['HA', 'S9']
name: baseline1, hole_card: ['SA', 'D6']
name: b10902034, hole_card: ['HA', 'S9']
name: baseline1, hole_card: ['SA', 'D6']
community cards of this round: ['CQ', 'D9', 'C6', 'HT', 'H9']
name: b10902034, hole_card: ['D7', 'SK']
name: baseline1, hole_card: ['S8', 'H8']
name: b10902034, hole_card: ['D7', 'SK']
name: baseline1, hole_card: ['S8', 'H8']
name: b10902034, hole_card: ['D7', 'SK']
name: baseline1, hole_card: ['S8', 'H8']
community cards of this round: ['D6', 'HT', 'HJ', 'CA', 'HK']
name: b10902034, hole_card: ['D5', 'D7']
name: baseline1, hole_card: ['DQ', 'S5']
name: b10902034, hole_card: ['D5', 'D7']
name: baseline1, hole_card: ['DQ', 'S5']
b10902034 vs baseline1 - Game 2: {'rule': {'initial_stack': 1000, 'max_round': 20, 'small_blind_amount': 5, 'ante': 0, 'blind_structure': {}}, 'players': [{'name': 'b10902034', 'uuid': 'vjxrcajaeolbfuszrpjfad', 'stack': 1840, 'state': 'participating'}, {'name': 'baseline1', 'uuid': 'ppznsymzcbyyqfahwmicva', 'stack': 159.5, 'state': 'participating'}]}
community cards of this round: ['SK', 'C9', 'S4', 'H4', 'HT']
name: baseline1, hole_card: ['H6', 'ST']
name: b10902034, hole_card: ['D2', 'C4']
name: baseline1, hole_card: ['H6', 'ST']
name: b10902034, hole_card: ['D2', 'C4']
community cards of this round: ['DT', 'CK', 'C8', 'D8', 'S6']
name: baseline1, hole_card: ['H3', 'D6']
name: b10902034, hole_card: ['D7', 'HQ']
name: baseline1, hole_card: ['H3', 'D6']
name: b10902034, hole_card: ['D7', 'HQ']
name: baseline1, hole_card: ['H3', 'D6']
name: b10902034, hole_card: ['D7', 'HQ']
name: baseline1, hole_card: ['H3', 'D6']
name: b10902034, hole_card: ['D7', 'HQ']
community cards of this round: ['S4', 'DK', 'HA', 'DQ', 'CT']
name: baseline1, hole_card: ['CA', 'D4']
name: b10902034, hole_card: ['H7', 'D6']
name: baseline1, hole_card: ['CA', 'D4']
name: b10902034, hole_card: ['H7', 'D6']
community cards of this round: ['H8', 'DK', 'S6', 'HQ', 'C4']
name: baseline1, hole_card: ['HT', 'H7']
name: b10902034, hole_card: ['CQ', 'DT']
name: baseline1, hole_card: ['HT', 'H7']
name: b10902034, hole_card: ['CQ', 'DT']
name: baseline1, hole_card: ['HT', 'H7']
name: b10902034, hole_card: ['CQ', 'DT']
name: baseline1, hole_card: ['HT', 'H7']
name: b10902034, hole_card: ['CQ', 'DT']
name: baseline1, hole_card: ['HT', 'H7']
name: b10902034, hole_card: ['CQ', 'DT']
name: baseline1, hole_card: ['HT', 'H7']
name: b10902034, hole_card: ['CQ', 'DT']
name: baseline1, hole_card: ['HT', 'H7']
name: b10902034, hole_card: ['CQ', 'DT']
name: baseline1, hole_card: ['HT', 'H7']
name: b10902034, hole_card: ['CQ', 'DT']
name: baseline1, hole_card: ['HT', 'H7']
name: b10902034, hole_card: ['CQ', 'DT']
community cards of this round: ['CA', 'C3', 'H7', 'D8', 'SJ']
name: baseline1, hole_card: ['S5', 'H4']
name: b10902034, hole_card: ['DT', 'DK']
name: baseline1, hole_card: ['S5', 'H4']
name: b10902034, hole_card: ['DT', 'DK']
name: baseline1, hole_card: ['S5', 'H4']
name: b10902034, hole_card: ['DT', 'DK']
name: baseline1, hole_card: ['S5', 'H4']
name: b10902034, hole_card: ['DT', 'DK']
name: baseline1, hole_card: ['S5', 'H4']
name: b10902034, hole_card: ['DT', 'DK']
name: baseline1, hole_card: ['S5', 'H4']
name: b10902034, hole_card: ['DT', 'DK']
name: baseline1, hole_card: ['S5', 'H4']
name: b10902034, hole_card: ['DT', 'DK']
community cards of this round: ['CK', 'CQ', 'C6', 'SQ', 'SA']
name: baseline1, hole_card: ['S9', 'C4']
name: b10902034, hole_card: ['CJ', 'H6']
name: baseline1, hole_card: ['S9', 'C4']
