name: b09605039, hole_card: ['HJ', 'C8']
name: baseline2, hole_card: ['C6', 'S8']
name: b09605039, hole_card: ['HJ', 'C8']
name: baseline2, hole_card: ['C6', 'S8']
name: b09605039, hole_card: ['HJ', 'C8']
name: baseline2, hole_card: ['C6', 'S8']
name: b09605039, hole_card: ['HJ', 'C8']
name: baseline2, hole_card: ['C6', 'S8']
name: b09605039, hole_card: ['HJ', 'C8']
name: baseline2, hole_card: ['C6', 'S8']
name: b09605039, hole_card: ['HJ', 'C8']
name: baseline2, hole_card: ['C6', 'S8']
name: b09605039, hole_card: ['HJ', 'C8']
community cards of this round: ['SK', 'HK', 'S9', 'HJ', 'C4']
name: baseline2, hole_card: ['H9', 'H4']
name: b09605039, hole_card: ['S3', 'S5']
name: baseline2, hole_card: ['H9', 'H4']
name: b09605039, hole_card: ['S3', 'S5']
community cards of this round: ['S6', 'DQ', 'CJ', 'H7', 'CK']
name: baseline2, hole_card: ['SA', 'SJ']
name: b09605039, hole_card: ['C5', 'D5']
name: baseline2, hole_card: ['SA', 'SJ']
name: b09605039, hole_card: ['C5', 'D5']
community cards of this round: ['S6', 'S4', 'S7', 'C4', 'C3']
name: baseline2, hole_card: ['CK', 'C6']
name: b09605039, hole_card: ['HJ', 'HT']
name: baseline2, hole_card: ['CK', 'C6']
name: b09605039, hole_card: ['HJ', 'HT']
community cards of this round: ['CJ', 'DA', 'C7', 'D5', 'D9']
name: baseline2, hole_card: ['H8', 'HJ']
name: b09605039, hole_card: ['DJ', 'S5']
name: baseline2, hole_card: ['H8', 'HJ']
name: b09605039, hole_card: ['DJ', 'S5']
name: baseline2, hole_card: ['H8', 'HJ']
name: b09605039, hole_card: ['DJ', 'S5']
community cards of this round: ['SA', 'C2', 'H6', 'H3', 'D2']
name: baseline2, hole_card: ['C5', 'H2']
name: b09605039, hole_card: ['C9', 'C6']
name: baseline2, hole_card: ['C5', 'H2']
name: b09605039, hole_card: ['C9', 'C6']
community cards of this round: ['SJ', 'S7', 'C5', 'D4', 'DK']
name: baseline2, hole_card: ['D6', 'HK']
name: b09605039, hole_card: ['C3', 'D9']
name: baseline2, hole_card: ['D6', 'HK']
name: b09605039, hole_card: ['C3', 'D9']
community cards of this round: ['H4', 'HA', 'C9', 'DT', 'C8']
name: baseline2, hole_card: ['CA', 'D5']
name: b09605039, hole_card: ['S8', 'H8']
name: baseline2, hole_card: ['CA', 'D5']
name: b09605039, hole_card: ['S8', 'H8']
community cards of this round: ['DJ', 'H4', 'H7', 'D9', 'D6']
name: baseline2, hole_card: ['C5', 'H5']
name: b09605039, hole_card: ['S9', 'C6']
name: baseline2, hole_card: ['C5', 'H5']
name: b09605039, hole_card: ['S9', 'C6']
name: baseline2, hole_card: ['C5', 'H5']
name: b09605039, hole_card: ['S9', 'C6']
community cards of this round: ['HQ', 'S2', 'S4', 'DK', 'C2']
name: baseline2, hole_card: ['D3', 'CJ']
name: b09605039, hole_card: ['S7', 'D7']
name: baseline2, hole_card: ['D3', 'CJ']
name: b09605039, hole_card: ['S7', 'D7']
community cards of this round: ['SA', 'S2', 'CQ', 'S3', 'D9']
name: baseline2, hole_card: ['HQ', 'C5']
name: b09605039, hole_card: ['C4', 'D5']
name: baseline2, hole_card: ['HQ', 'C5']
name: b09605039, hole_card: ['C4', 'D5']
name: baseline2, hole_card: ['HQ', 'C5']
name: b09605039, hole_card: ['C4', 'D5']
community cards of this round: ['S2', 'SA', 'C7', 'H7', 'HA']
name: baseline2, hole_card: ['H2', 'H4']
name: b09605039, hole_card: ['DK', 'H3']
name: baseline2, hole_card: ['H2', 'H4']
name: b09605039, hole_card: ['DK', 'H3']
community cards of this round: ['CQ', 'D8', 'DA', 'S7', 'D7']
name: baseline2, hole_card: ['C5', 'D5']
name: b09605039, hole_card: ['HK', 'C9']
name: baseline2, hole_card: ['C5', 'D5']
name: b09605039, hole_card: ['HK', 'C9']
name: baseline2, hole_card: ['C5', 'D5']
name: b09605039, hole_card: ['HK', 'C9']
community cards of this round: ['D6', 'HT', 'CQ', 'HK', 'HJ']
name: baseline2, hole_card: ['C6', 'H9']
name: b09605039, hole_card: ['S6', 'D3']
name: baseline2, hole_card: ['C6', 'H9']
name: b09605039, hole_card: ['S6', 'D3']
community cards of this round: ['H3', 'H7', 'S2', 'H9', 'S7']
name: baseline2, hole_card: ['HJ', 'C2']
name: b09605039, hole_card: ['S9', 'SQ']
name: baseline2, hole_card: ['HJ', 'C2']
name: b09605039, hole_card: ['S9', 'SQ']
name: baseline2, hole_card: ['HJ', 'C2']
name: b09605039, hole_card: ['S9', 'SQ']
community cards of this round: ['ST', 'D8', 'H9', 'DJ', 'C9']
name: baseline2, hole_card: ['SA', 'CJ']
name: b09605039, hole_card: ['H4', 'S8']
name: baseline2, hole_card: ['SA', 'CJ']
name: b09605039, hole_card: ['H4', 'S8']
community cards of this round: ['SQ', 'HA', 'C3', 'C6', 'HK']
name: baseline2, hole_card: ['S8', 'C2']
name: b09605039, hole_card: ['D8', 'H5']
name: baseline2, hole_card: ['S8', 'C2']
name: b09605039, hole_card: ['D8', 'H5']
name: baseline2, hole_card: ['S8', 'C2']
name: b09605039, hole_card: ['D8', 'H5']
community cards of this round: ['H2', 'D6', 'S5', 'D9', 'D4']
name: baseline2, hole_card: ['HQ', 'HT']
name: b09605039, hole_card: ['D3', 'S7']
name: baseline2, hole_card: ['HQ', 'HT']
name: b09605039, hole_card: ['D3', 'S7']
community cards of this round: ['S5', 'C6', 'S6', 'CK', 'H4']
name: baseline2, hole_card: ['H3', 'H7']
name: b09605039, hole_card: ['C9', 'CJ']
name: baseline2, hole_card: ['H3', 'H7']
name: b09605039, hole_card: ['C9', 'CJ']
name: baseline2, hole_card: ['H3', 'H7']
name: b09605039, hole_card: ['C9', 'CJ']
community cards of this round: ['C5', 'CQ', 'DT', 'HQ', 'CT']
name: baseline2, hole_card: ['H6', 'C6']
name: b09605039, hole_card: ['C2', 'H8']
name: baseline2, hole_card: ['H6', 'C6']
name: b09605039, hole_card: ['C2', 'H8']
b09605039 vs baseline2 - Game 1: {'rule': {'initial_stack': 1000, 'max_round': 20, 'small_blind_amount': 5, 'ante': 0, 'blind_structure': {}}, 'players': [{'name': 'baseline2', 'uuid': 'rchhxibmhsrieutqyrduyp', 'stack': 1789.5469107606466, 'state': 'participating'}, {'name': 'b09605039', 'uuid': 'epebwjsqoxmhcvjlmhfjhv', 'stack': 206.90039961483393, 'state': 'participating'}]}
community cards of this round: ['S6', 'DT', 'DA', 'C4', 'H3']
name: b09605039, hole_card: ['C6', 'S8']
name: baseline2, hole_card: ['HJ', 'C8']
name: b09605039, hole_card: ['C6', 'S8']
name: baseline2, hole_card: ['HJ', 'C8']
name: b09605039, hole_card: ['C6', 'S8']
name: baseline2, hole_card: ['HJ', 'C8']
name: b09605039, hole_card: ['C6', 'S8']
name: baseline2, hole_card: ['HJ', 'C8']
name: b09605039, hole_card: ['C6', 'S8']
name: baseline2, hole_card: ['HJ', 'C8']
name: b09605039, hole_card: ['C6', 'S8']
name: baseline2, hole_card: ['HJ', 'C8']
name: b09605039, hole_card: ['C6', 'S8']
name: baseline2, hole_card: ['HJ', 'C8']
name: b09605039, hole_card: ['C6', 'S8']
name: baseline2, hole_card: ['HJ', 'C8']
name: b09605039, hole_card: ['C6', 'S8']
name: baseline2, hole_card: ['HJ', 'C8']
name: b09605039, hole_card: ['C6', 'S8']
name: baseline2, hole_card: ['HJ', 'C8']
name: b09605039, hole_card: ['C6', 'S8']
name: baseline2, hole_card: ['HJ', 'C8']
community cards of this round: ['SK', 'HK', 'S9', 'HJ', 'C4']
name: b09605039, hole_card: ['H9', 'H4']
name: baseline2, hole_card: ['S3', 'S5']
name: b09605039, hole_card: ['H9', 'H4']
name: baseline2, hole_card: ['S3', 'S5']
name: b09605039, hole_card: ['H9', 'H4']
name: baseline2, hole_card: ['S3', 'S5']
name: b09605039, hole_card: ['H9', 'H4']
name: baseline2, hole_card: ['S3', 'S5']
name: b09605039, hole_card: ['H9', 'H4']
name: baseline2, hole_card: ['S3', 'S5']
b09605039 vs baseline2 - Game 2: {'rule': {'initial_stack': 1000, 'max_round': 20, 'small_blind_amount': 5, 'ante': 0, 'blind_structure': {}}, 'players': [{'name': 'b09605039', 'uuid': 'fxexfrctwlflcimshgcxlr', 'stack': 1998.462700641543, 'state': 'participating'}, {'name': 'baseline2', 'uuid': 'zmnxheqvcogtlcblqcfqoh', 'stack': 0, 'state': 'folded'}]}
community cards of this round: ['S6', 'C2', 'H6', 'H7', 'HA']
name: baseline2, hole_card: ['S9', 'C7']
name: b09605039, hole_card: ['H8', 'DJ']
name: baseline2, hole_card: ['S9', 'C7']
name: b09605039, hole_card: ['H8', 'DJ']
name: baseline2, hole_card: ['S9', 'C7']
name: b09605039, hole_card: ['H8', 'DJ']
name: baseline2, hole_card: ['S9', 'C7']
name: b09605039, hole_card: ['H8', 'DJ']
name: baseline2, hole_card: ['S9', 'C7']
name: b09605039, hole_card: ['H8', 'DJ']
name: baseline2, hole_card: ['S9', 'C7']
name: b09605039, hole_card: ['H8', 'DJ']
name: baseline2, hole_card: ['S9', 'C7']
name: b09605039, hole_card: ['H8', 'DJ']
name: baseline2, hole_card: ['S9', 'C7']
name: b09605039, hole_card: ['H8', 'DJ']
name: baseline2, hole_card: ['S9', 'C7']
name: b09605039, hole_card: ['H8', 'DJ']
community cards of this round: ['D8', 'D7', 'S6', 'DK', 'CK']
name: baseline2, hole_card: ['S2', 'D3']
name: b09605039, hole_card: ['C3', 'H3']
name: baseline2, hole_card: ['S2', 'D3']
name: b09605039, hole_card: ['C3', 'H3']
community cards of this round: ['C6', 'D8', 'S4', 'H6', 'S2']
name: baseline2, hole_card: ['CK', 'H4']
name: b09605039, hole_card: ['D9', 'H9']
name: baseline2, hole_card: ['CK', 'H4']
name: b09605039, hole_card: ['D9', 'H9']
name: baseline2, hole_card: ['CK', 'H4']
name: b09605039, hole_card: ['D9', 'H9']
community cards of this round: ['D6', 'DK', 'HT', 'H7', 'CK']
name: baseline2, hole_card: ['H8', 'C5']
name: b09605039, hole_card: ['D9', 'HK']
name: baseline2, hole_card: ['H8', 'C5']
name: b09605039, hole_card: ['D9', 'HK']
community cards of this round: ['S2', 'CT', 'HT', 'D5', 'C9']
name: baseline2, hole_card: ['D4', 'H6']
name: b09605039, hole_card: ['D9', 'H5']
name: baseline2, hole_card: ['D4', 'H6']
name: b09605039, hole_card: ['D9', 'H5']
name: baseline2, hole_card: ['D4', 'H6']
name: b09605039, hole_card: ['D9', 'H5']
community cards of this round: ['DK', 'SQ', 'C9', 'S3', 'S7']
name: baseline2, hole_card: ['HJ', 'D4']
name: b09605039, hole_card: ['C6', 'DJ']
name: baseline2, hole_card: ['HJ', 'D4']
name: b09605039, hole_card: ['C6', 'DJ']
community cards of this round: ['H6', 'C4', 'C6', 'HA', 'CA']
name: baseline2, hole_card: ['C8', 'S6']
name: b09605039, hole_card: ['HT', 'D5']
name: baseline2, hole_card: ['C8', 'S6']
name: b09605039, hole_card: ['HT', 'D5']
name: baseline2, hole_card: ['C8', 'S6']
name: b09605039, hole_card: ['HT', 'D5']
community cards of this round: ['DK', 'CJ', 'CT', 'D4', 'S8']
name: baseline2, hole_card: ['S3', 'S7']
name: b09605039, hole_card: ['CA', 'ST']
name: baseline2, hole_card: ['S3', 'S7']
name: b09605039, hole_card: ['CA', 'ST']
community cards of this round: ['S2', 'DJ', 'H9', 'H7', 'SJ']
name: baseline2, hole_card: ['CK', 'S4']
name: b09605039, hole_card: ['S3', 'HT']
name: baseline2, hole_card: ['CK', 'S4']
name: b09605039, hole_card: ['S3', 'HT']
community cards of this round: ['C6', 'H6', 'H9', 'H5', 'HK']
name: baseline2, hole_card: ['H2', 'DK']
name: b09605039, hole_card: ['CT', 'CQ']
name: baseline2, hole_card: ['H2', 'DK']
name: b09605039, hole_card: ['CT', 'CQ']
community cards of this round: ['CA', 'HK', 'H3', 'C2', 'H6']
name: baseline2, hole_card: ['DT', 'SJ']
name: b09605039, hole_card: ['D2', 'S6']
name: baseline2, hole_card: ['DT', 'SJ']
name: b09605039, hole_card: ['D2', 'S6']
name: baseline2, hole_card: ['DT', 'SJ']
name: b09605039, hole_card: ['D2', 'S6']
community cards of this round: ['D8', 'H9', 'D3', 'D5', 'S2']
name: baseline2, hole_card: ['S6', 'C3']
name: b09605039, hole_card: ['CK', 'D2']
name: baseline2, hole_card: ['S6', 'C3']
name: b09605039, hole_card: ['CK', 'D2']
community cards of this round: ['CQ', 'D7', 'S7', 'DA', 'CK']
name: baseline2, hole_card: ['S6', 'HK']
name: b09605039, hole_card: ['C3', 'S2']
name: baseline2, hole_card: ['S6', 'HK']
name: b09605039, hole_card: ['C3', 'S2']
name: baseline2, hole_card: ['S6', 'HK']
name: b09605039, hole_card: ['C3', 'S2']
community cards of this round: ['DA', 'D5', 'S6', 'C9', 'H6']
name: baseline2, hole_card: ['HA', 'D9']
name: b09605039, hole_card: ['CT', 'DQ']
name: baseline2, hole_card: ['HA', 'D9']
name: b09605039, hole_card: ['CT', 'DQ']
community cards of this round: ['D9', 'ST', 'C3', 'D2', 'DA']
name: baseline2, hole_card: ['H4', 'S4']
name: b09605039, hole_card: ['S2', 'C2']
name: baseline2, hole_card: ['H4', 'S4']
name: b09605039, hole_card: ['S2', 'C2']
name: baseline2, hole_card: ['H4', 'S4']
name: b09605039, hole_card: ['S2', 'C2']
community cards of this round: ['H8', 'D6', 'D5', 'H7', 'D8']
name: baseline2, hole_card: ['SK', 'DQ']
name: b09605039, hole_card: ['SQ', 'C6']
name: baseline2, hole_card: ['SK', 'DQ']
name: b09605039, hole_card: ['SQ', 'C6']
community cards of this round: ['D6', 'ST', 'S7', 'HJ', 'H5']
name: baseline2, hole_card: ['H2', 'DT']
name: b09605039, hole_card: ['SK', 'D8']
name: baseline2, hole_card: ['H2', 'DT']
name: b09605039, hole_card: ['SK', 'D8']
name: baseline2, hole_card: ['H2', 'DT']
name: b09605039, hole_card: ['SK', 'D8']
community cards of this round: ['H6', 'ST', 'S5', 'SQ', 'HA']
name: baseline2, hole_card: ['HJ', 'S3']
name: b09605039, hole_card: ['H4', 'D4']
name: baseline2, hole_card: ['HJ', 'S3']
name: b09605039, hole_card: ['H4', 'D4']
