community cards of this round: ['H8', 'S3', 'CA', 'D3', 'HQ']
name: baseline1, hole_card: ['D8', 'S6']
name: b10902054, hole_card: ['S4', 'H8']
name: baseline1, hole_card: ['D8', 'S6']
name: b10902054, hole_card: ['S4', 'H8']
name: baseline1, hole_card: ['D8', 'S6']
name: b10902054, hole_card: ['S4', 'H8']
name: baseline1, hole_card: ['D8', 'S6']
name: b10902054, hole_card: ['S4', 'H8']
name: baseline1, hole_card: ['D8', 'S6']
community cards of this round: ['C7', 'SK', 'C3', 'DT', 'C5']
name: b10902054, hole_card: ['SA', 'S4']
name: baseline1, hole_card: ['CT', 'ST']
name: b10902054, hole_card: ['SA', 'S4']
name: baseline1, hole_card: ['CT', 'ST']
name: b10902054, hole_card: ['SA', 'S4']
name: baseline1, hole_card: ['CT', 'ST']
name: b10902054, hole_card: ['SA', 'S4']
name: baseline1, hole_card: ['CT', 'ST']
name: b10902054, hole_card: ['SA', 'S4']
name: baseline1, hole_card: ['CT', 'ST']
name: b10902054, hole_card: ['SA', 'S4']
name: baseline1, hole_card: ['CT', 'ST']
name: b10902054, hole_card: ['SA', 'S4']
name: baseline1, hole_card: ['CT', 'ST']
name: b10902054, hole_card: ['SA', 'S4']
name: baseline1, hole_card: ['CT', 'ST']
community cards of this round: ['SA', 'S5', 'S8', 'S2', 'S9']
name: b10902054, hole_card: ['DT', 'C5']
name: baseline1, hole_card: ['C8', 'SK']
name: b10902054, hole_card: ['DT', 'C5']
name: baseline1, hole_card: ['C8', 'SK']
name: b10902054, hole_card: ['DT', 'C5']
name: baseline1, hole_card: ['C8', 'SK']
name: b10902054, hole_card: ['DT', 'C5']
name: baseline1, hole_card: ['C8', 'SK']
name: b10902054, hole_card: ['DT', 'C5']
name: baseline1, hole_card: ['C8', 'SK']
name: b10902054, hole_card: ['DT', 'C5']
name: baseline1, hole_card: ['C8', 'SK']
name: b10902054, hole_card: ['DT', 'C5']
name: baseline1, hole_card: ['C8', 'SK']
name: b10902054, hole_card: ['DT', 'C5']
name: baseline1, hole_card: ['C8', 'SK']
name: b10902054, hole_card: ['DT', 'C5']
name: baseline1, hole_card: ['C8', 'SK']
community cards of this round: ['DJ', 'S8', 'D2', 'H2', 'ST']
name: b10902054, hole_card: ['SK', 'D6']
name: baseline1, hole_card: ['SA', 'C2']
name: b10902054, hole_card: ['SK', 'D6']
name: baseline1, hole_card: ['SA', 'C2']
name: b10902054, hole_card: ['SK', 'D6']
name: baseline1, hole_card: ['SA', 'C2']
name: b10902054, hole_card: ['SK', 'D6']
name: baseline1, hole_card: ['SA', 'C2']
name: b10902054, hole_card: ['SK', 'D6']
name: baseline1, hole_card: ['SA', 'C2']
name: b10902054, hole_card: ['SK', 'D6']
name: baseline1, hole_card: ['SA', 'C2']
name: b10902054, hole_card: ['SK', 'D6']
name: baseline1, hole_card: ['SA', 'C2']
name: b10902054, hole_card: ['SK', 'D6']
name: baseline1, hole_card: ['SA', 'C2']
community cards of this round: ['DQ', 'SQ', 'D9', 'C9', 'H3']
name: b10902054, hole_card: ['SJ', 'S3']
name: baseline1, hole_card: ['HQ', 'H4']
name: b10902054, hole_card: ['SJ', 'S3']
name: baseline1, hole_card: ['HQ', 'H4']
name: b10902054, hole_card: ['SJ', 'S3']
name: baseline1, hole_card: ['HQ', 'H4']
name: b10902054, hole_card: ['SJ', 'S3']
name: baseline1, hole_card: ['HQ', 'H4']
name: b10902054, hole_card: ['SJ', 'S3']
name: baseline1, hole_card: ['HQ', 'H4']
name: b10902054, hole_card: ['SJ', 'S3']
name: baseline1, hole_card: ['HQ', 'H4']
community cards of this round: ['SQ', 'HA', 'D6', 'DA', 'C9']
name: b10902054, hole_card: ['CJ', 'C8']
name: baseline1, hole_card: ['S3', 'H2']
name: b10902054, hole_card: ['CJ', 'C8']
name: baseline1, hole_card: ['S3', 'H2']
name: b10902054, hole_card: ['CJ', 'C8']
name: baseline1, hole_card: ['S3', 'H2']
name: b10902054, hole_card: ['CJ', 'C8']
name: baseline1, hole_card: ['S3', 'H2']
community cards of this round: ['DT', 'SK', 'C6', 'SJ', 'H4']
name: b10902054, hole_card: ['SQ', 'CT']
name: baseline1, hole_card: ['H3', 'H5']
name: b10902054, hole_card: ['SQ', 'CT']
name: baseline1, hole_card: ['H3', 'H5']
name: b10902054, hole_card: ['SQ', 'CT']
name: baseline1, hole_card: ['H3', 'H5']
name: b10902054, hole_card: ['SQ', 'CT']
name: baseline1, hole_card: ['H3', 'H5']
name: b10902054, hole_card: ['SQ', 'CT']
name: baseline1, hole_card: ['H3', 'H5']
community cards of this round: ['DJ', 'D4', 'D8', 'H7', 'HQ']
name: b10902054, hole_card: ['H9', 'H2']
name: baseline1, hole_card: ['DK', 'CA']
name: b10902054, hole_card: ['H9', 'H2']
name: baseline1, hole_card: ['DK', 'CA']
name: b10902054, hole_card: ['H9', 'H2']
name: baseline1, hole_card: ['DK', 'CA']
name: b10902054, hole_card: ['H9', 'H2']
name: baseline1, hole_card: ['DK', 'CA']
name: b10902054, hole_card: ['H9', 'H2']
name: baseline1, hole_card: ['DK', 'CA']
name: b10902054, hole_card: ['H9', 'H2']
name: baseline1, hole_card: ['DK', 'CA']
name: b10902054, hole_card: ['H9', 'H2']
name: baseline1, hole_card: ['DK', 'CA']
name: b10902054, hole_card: ['H9', 'H2']
name: baseline1, hole_card: ['DK', 'CA']
name: b10902054, hole_card: ['H9', 'H2']
name: baseline1, hole_card: ['DK', 'CA']
name: b10902054, hole_card: ['H9', 'H2']
name: baseline1, hole_card: ['DK', 'CA']
community cards of this round: ['DT', 'C4', 'HJ', 'H7', 'H6']
name: b10902054, hole_card: ['D3', 'DK']
name: baseline1, hole_card: ['D2', 'SK']
